epoch	time	loss	P@1	nDCG@1	PSP@1	PSnDCG@1	P@3	nDCG@3	PSP@3	PSnDCG@3	P@5	nDCG@5	PSP@5	PSnDCG@5
4	2024-04-26 16:21:55.041619	1.6121E-03	80.96	80.96	65.93	65.93	67.93	77.54	72.33	70.64	50.47	78.45	75.60	73.05
9	2024-04-26 16:30:45.878489	1.2770E-03	85.94	85.94	69.11	69.11	72.98	83.13	78.20	75.95	54.13	84.02	81.89	78.67
14	2024-04-26 16:39:39.157990	1.1182E-03	86.70	86.70	69.12	69.12	74.51	85.09	80.08	77.74	55.77	86.41	84.62	80.94
19	2024-04-26 16:48:26.022441	1.0229E-03	89.95	89.95	70.59	70.59	76.65	87.35	82.06	79.34	56.77	88.15	86.21	82.36
24	2024-04-26 16:57:06.330457	9.9220E-04	90.47	90.47	70.77	70.77	77.35	88.10	82.68	79.90	57.33	88.90	87.06	83.03
29	2024-04-26 17:05:47.300114	9.1199E-04	91.51	91.51	70.97	70.97	78.14	89.12	83.31	80.51	57.75	89.79	87.71	83.69
34	2024-04-26 17:14:28.093794	8.9074E-04	89.63	89.63	69.37	69.37	77.62	88.57	82.85	80.03	57.93	89.76	87.97	83.63
39	2024-04-26 17:23:06.637473	8.9858E-04	90.01	90.01	69.62	69.62	76.31	87.66	81.74	79.37	57.62	89.44	87.67	83.43
44	2024-04-26 17:31:46.796595	8.4155E-04	92.18	92.18	70.87	70.87	78.91	89.92	84.03	81.04	58.33	90.67	88.63	84.39
49	2024-04-26 17:40:27.212354	8.1742E-04	92.08	92.08	70.57	70.57	78.91	89.84	83.89	80.81	58.42	90.62	88.73	84.26
54	2024-04-26 17:49:06.854086	8.4570E-04	92.57	92.57	70.91	70.91	79.31	90.40	84.29	81.28	58.58	91.10	89.00	84.69
59	2024-04-26 17:57:46.718837	8.0306E-04	92.61	92.61	71.05	71.05	79.46	90.55	84.49	81.48	58.68	91.22	89.15	84.85
64	2024-04-26 18:06:30.958497	7.9490E-04	90.24	90.24	69.27	69.27	78.42	89.40	83.62	80.57	58.47	90.52	88.93	84.25
69	2024-04-26 18:15:10.774253	7.6804E-04	92.61	92.61	70.49	70.49	79.40	90.52	84.21	81.16	58.65	91.22	89.06	84.66
74	2024-04-26 18:23:53.450018	7.5358E-04	92.87	92.87	70.84	70.84	79.66	90.82	84.54	81.50	58.85	91.53	89.42	85.01
79	2024-04-26 18:32:33.873538	7.6062E-04	92.94	92.94	70.93	70.93	79.74	90.83	84.77	81.62	58.86	91.41	89.53	85.00
84	2024-04-26 18:41:15.346643	7.5017E-04	92.79	92.79	70.49	70.49	79.55	90.67	84.46	81.32	58.80	91.38	89.41	84.84
89	2024-04-26 18:49:57.266823	7.5344E-04	93.03	93.03	70.81	70.81	79.78	90.95	84.76	81.65	58.93	91.65	89.58	85.13
94	2024-04-26 18:58:38.737405	7.3535E-04	93.08	93.08	70.84	70.84	79.20	90.71	84.19	81.43	58.93	91.68	89.55	85.13
99	2024-04-26 19:07:19.584868	7.4739E-04	93.18	93.18	70.82	70.82	79.94	91.14	84.84	81.72	58.94	91.67	89.61	85.12
104	2024-04-26 19:16:01.588357	7.2725E-04	92.03	92.03	69.98	69.98	79.34	90.58	84.29	81.29	59.09	91.67	89.80	85.12
109	2024-04-26 19:24:42.721155	7.1352E-04	93.20	93.20	71.02	71.02	79.99	91.18	84.90	81.83	59.08	91.87	89.77	85.33
114	2024-04-26 19:33:24.135798	7.0070E-04	93.11	93.11	70.74	70.74	79.89	91.08	84.83	81.71	58.99	91.68	89.72	85.17
119	2024-04-26 19:42:08.109884	7.1579E-04	93.15	93.15	70.92	70.92	79.27	90.77	84.35	81.56	59.00	91.74	89.71	85.25
124	2024-04-26 19:50:49.407329	6.9816E-04	91.24	91.24	69.92	69.92	79.32	90.50	84.62	81.58	59.04	91.59	89.88	85.30
129	2024-04-26 19:59:29.967464	6.7017E-04	93.33	93.33	70.82	70.82	80.11	91.35	84.92	81.83	59.16	92.04	89.91	85.40
134	2024-04-26 20:08:14.538869	6.8174E-04	93.36	93.36	71.13	71.13	80.09	91.35	85.17	82.08	59.07	91.93	89.90	85.47
139	2024-04-26 20:16:53.773819	7.0959E-04	93.26	93.26	71.16	71.16	80.07	91.28	85.06	82.01	59.09	91.86	89.90	85.44
144	2024-04-26 20:25:31.843570	6.6145E-04	92.99	92.99	70.57	70.57	79.81	90.92	84.68	81.52	58.95	91.59	89.63	85.06
149	2024-04-26 20:34:09.861054	6.9709E-04	93.44	93.44	71.12	71.12	80.20	91.43	85.19	82.09	59.20	92.09	90.03	85.59
154	2024-04-26 20:42:49.062068	6.7544E-04	93.40	93.40	71.02	71.02	80.13	91.36	85.05	81.96	59.06	91.89	89.85	85.39
159	2024-04-26 20:51:27.102104	6.8499E-04	93.42	93.42	70.89	70.89	80.22	91.46	85.16	82.02	59.23	92.12	90.05	85.54
164	2024-04-26 21:00:05.579280	6.4707E-04	93.42	93.42	71.16	71.16	80.19	91.42	85.24	82.12	59.20	92.10	90.06	85.62
169	2024-04-26 21:08:42.382087	6.4916E-04	93.49	93.49	71.42	71.42	80.24	91.48	85.35	82.29	59.24	92.15	90.18	85.77
174	2024-04-26 21:17:20.512702	6.5446E-04	93.40	93.40	70.93	70.93	80.22	91.48	85.15	82.04	59.29	92.20	90.17	85.64
179	2024-04-26 21:25:59.846347	6.4249E-04	93.41	93.41	71.08	71.08	80.21	91.46	85.16	82.07	59.24	92.15	90.11	85.64
184	2024-04-26 21:34:36.394459	6.4476E-04	93.46	93.46	71.28	71.28	80.22	91.47	85.27	82.21	59.22	92.13	90.13	85.71
189	2024-04-26 21:43:13.864465	6.5749E-04	93.27	93.27	70.69	70.69	80.17	91.41	85.00	81.88	59.17	92.03	89.98	85.43
194	2024-04-26 21:51:51.160961	6.2252E-04	93.49	93.49	71.03	71.03	80.24	91.51	85.25	82.13	59.23	92.18	90.11	85.66
199	2024-04-26 22:00:26.931131	6.5526E-04	93.48	93.48	71.24	71.24	80.20	91.50	85.30	82.24	59.15	92.06	90.09	85.66
204	2024-04-26 22:09:06.818172	6.3163E-04	93.52	93.52	71.09	71.09	80.28	91.56	85.24	82.16	59.24	92.10	90.13	85.61
209	2024-04-26 22:17:43.327672	6.0936E-04	93.45	93.45	71.17	71.17	80.24	91.47	85.30	82.19	59.28	92.17	90.23	85.72
214	2024-04-26 22:26:20.459052	6.3952E-04	93.40	93.40	71.16	71.16	80.25	91.51	85.30	82.22	59.23	92.09	90.17	85.66
219	2024-04-26 22:34:57.833326	6.1056E-04	93.46	93.46	71.33	71.33	80.30	91.59	85.43	82.36	59.25	92.17	90.26	85.79
224	2024-04-26 22:43:32.686258	5.9633E-04	93.52	93.52	71.11	71.11	80.30	91.56	85.31	82.20	59.29	92.23	90.20	85.73
229	2024-04-26 22:52:08.508297	6.0447E-04	93.52	93.52	71.24	71.24	80.30	91.56	85.28	82.22	59.32	92.27	90.28	85.80
234	2024-04-26 23:00:42.368391	6.0968E-04	93.57	93.57	71.19	71.19	80.39	91.67	85.40	82.32	59.36	92.36	90.36	85.89
239	2024-04-26 23:09:16.712951	6.1836E-04	91.54	91.54	69.98	69.98	79.62	90.89	84.77	81.79	58.99	91.72	89.85	85.40
244	2024-04-26 23:17:52.169810	6.0274E-04	93.49	93.49	71.29	71.29	80.30	91.58	85.33	82.29	59.30	92.26	90.27	85.82
249	2024-04-26 23:26:28.439299	5.7524E-04	91.43	91.43	70.20	70.20	79.54	90.78	84.83	81.88	59.23	91.90	90.23	85.67
254	2024-04-26 23:35:03.379318	5.7419E-04	93.57	93.57	71.33	71.33	80.35	91.66	85.46	82.41	59.34	92.35	90.35	85.92
259	2024-04-26 23:43:39.739317	5.5711E-04	93.54	93.54	71.40	71.40	80.30	91.59	85.40	82.37	59.31	92.27	90.29	85.88
264	2024-04-26 23:52:15.844226	5.8325E-04	93.54	93.54	71.49	71.49	80.31	91.59	85.45	82.42	59.32	92.29	90.33	85.93
269	2024-04-27 00:00:49.819369	5.7775E-04	91.56	91.56	70.25	70.25	79.68	90.93	84.88	81.93	59.32	92.04	90.33	85.75
274	2024-04-27 00:09:22.614906	5.7784E-04	93.49	93.49	71.35	71.35	80.29	91.57	85.38	82.33	59.25	92.17	90.25	85.80
279	2024-04-27 00:17:54.863080	5.5225E-04	93.54	93.54	71.57	71.57	80.30	91.62	85.45	82.47	59.28	92.24	90.31	85.93
284	2024-04-27 00:26:23.387448	5.5522E-04	93.51	93.51	71.47	71.47	80.29	91.59	85.45	82.42	59.29	92.28	90.32	85.93
289	2024-04-27 00:34:51.494368	5.7061E-04	93.52	93.52	71.49	71.49	80.27	91.56	85.45	82.42	59.26	92.19	90.28	85.87
294	2024-04-27 00:43:17.967751	5.6370E-04	93.55	93.55	71.39	71.39	80.30	91.61	85.37	82.35	59.33	92.31	90.36	85.92
299	2024-04-27 00:51:46.440162	5.4597E-04	93.56	93.56	71.46	71.46	80.32	91.60	85.44	82.40	59.33	92.29	90.33	85.91
304	2024-04-27 01:00:14.403814	5.4090E-04	93.48	93.48	71.65	71.65	80.30	91.58	85.50	82.51	59.28	92.20	90.34	85.94
309	2024-04-27 01:08:42.929526	5.5551E-04	93.53	93.53	71.48	71.48	80.29	91.59	85.47	82.44	59.35	92.33	90.42	85.99
314	2024-04-27 01:17:09.909034	5.6452E-04	93.53	93.53	71.72	71.72	80.37	91.64	85.57	82.56	59.34	92.32	90.38	86.03
319	2024-04-27 01:25:38.457616	5.8756E-04	93.52	93.52	71.66	71.66	80.32	91.59	85.57	82.54	59.29	92.26	90.34	85.99
324	2024-04-27 01:34:06.735711	5.3479E-04	93.51	93.51	71.73	71.73	80.30	91.58	85.61	82.59	59.25	92.14	90.31	85.93
329	2024-04-27 01:42:35.155093	5.5747E-04	93.51	93.51	71.79	71.79	80.32	91.59	85.57	82.57	59.35	92.31	90.42	86.06
334	2024-04-27 01:51:03.880023	5.3678E-04	93.50	93.50	71.83	71.83	80.30	91.58	85.61	82.62	59.27	92.19	90.32	85.99
339	2024-04-27 01:59:31.087284	5.4028E-04	93.58	93.58	72.18	72.18	80.38	91.67	85.85	82.88	59.35	92.35	90.49	86.24
344	2024-04-27 02:08:01.183313	5.4366E-04	93.59	93.59	72.18	72.18	80.36	91.67	85.78	82.83	59.31	92.27	90.43	86.16
349	2024-04-27 02:16:29.399308	5.2659E-04	93.54	93.54	72.15	72.15	80.37	91.66	85.81	82.85	59.34	92.33	90.45	86.21
354	2024-04-27 02:24:57.980573	5.2381E-04	93.56	93.56	72.27	72.27	80.39	91.68	85.88	82.93	59.36	92.35	90.50	86.27
359	2024-04-27 02:33:25.353730	5.1414E-04	93.54	93.54	72.33	72.33	80.34	91.64	85.87	82.93	59.34	92.32	90.49	86.27
364	2024-04-27 02:41:54.417052	5.1945E-04	93.55	93.55	72.38	72.38	80.34	91.64	85.88	82.96	59.35	92.34	90.49	86.30
369	2024-04-27 02:50:22.562385	5.1375E-04	93.55	93.55	72.48	72.48	80.33	91.63	85.92	83.01	59.34	92.33	90.49	86.32
374	2024-04-27 02:58:50.948788	5.1985E-04	93.56	93.56	72.38	72.38	80.36	91.65	85.89	82.96	59.36	92.34	90.52	86.30
379	2024-04-27 03:07:20.439371	5.1151E-04	93.56	93.56	72.46	72.46	80.37	91.65	85.93	83.00	59.36	92.34	90.51	86.32
384	2024-04-27 03:15:50.769020	5.1495E-04	93.56	93.56	72.47	72.47	80.36	91.65	85.93	83.01	59.35	92.34	90.51	86.33
389	2024-04-27 03:24:20.464232	5.1758E-04	93.56	93.56	72.47	72.47	80.37	91.66	85.93	83.01	59.36	92.35	90.52	86.33
394	2024-04-27 03:32:49.749806	5.3311E-04	93.55	93.55	72.45	72.45	80.36	91.65	85.93	83.01	59.36	92.35	90.52	86.33
399	2024-04-27 03:41:40.159344	5.0188E-04	93.55	93.55	72.46	72.46	80.36	91.65	85.93	83.01	59.36	92.35	90.52	86.33
