pred_t1,pred_t2,pred_t3,pred_t4,pred_t5,Empty_Column,ground_t1,ground_t2,ground_t3,ground_t4,ground_t5
33,4096,4096,4096,4096,,33,4096,4096,4096,4096
11,34,4096,4096,4096,,11,4096,4096,4096,4096
68,46,67,77,80,,80,77,68,67,46
2,3,4,18,6,,35,4,3,2,4096
2,3,4,18,6,,4,3,2,4096,4096
7,24,19,21,15,,24,21,19,15,7
26,27,4096,4096,4096,,27,26,4096,4096,4096
1864,151,600,227,4096,,1864,151,4096,4096,4096
36,120,147,4096,4096,,147,120,36,4096,4096
19,2181,4096,4096,4096,,2181,19,4096,4096,4096
36,120,697,4096,4096,,697,120,36,4096,4096
213,47,3124,4096,4096,,3124,213,47,4096,4096
213,23,4096,4096,4096,,213,23,4096,4096,4096
213,47,4096,4096,4096,,213,47,4096,4096,4096
3726,512,134,4096,4096,,3726,512,134,4096,4096
19,871,4096,4096,4096,,871,19,4096,4096,4096
33,4095,4096,4096,4096,,86,39,4096,4096,4096
534,4096,4096,4096,4096,,534,4096,4096,4096,4096
29,85,4096,4096,4096,,85,29,4096,4096,4096
40,29,1258,738,4096,,1258,738,40,29,4096
129,673,1258,264,791,,1258,673,40,29,4096
40,29,673,1258,4096,,1258,673,40,29,4096
0,29,32,4096,4096,,32,29,0,4096,4096
29,98,32,4096,4096,,98,32,29,4096,4096
1,29,32,86,4096,,86,32,29,1,4096
29,173,40,32,119,,173,119,40,32,29
1,161,25,4096,4096,,161,25,1,4096,4096
217,999,10,4096,4096,,999,217,10,4096,4096
0,999,10,4096,4096,,999,10,0,4096,4096
160,10,999,4096,4096,,999,160,10,4096,4096
139,10,999,4096,4096,,999,139,10,4096,4096
999,25,1,10,4096,,999,25,10,1,4096
999,1,137,10,4096,,999,137,10,1,4096
9,137,999,10,854,,999,137,10,9,4096
10,999,475,4096,4096,,999,475,10,4096,4096
999,372,25,10,4096,,999,372,25,10,4096
118,999,10,4096,4096,,999,118,10,4096,4096
0,738,4096,4096,4096,,738,0,4096,4096,4096
98,29,738,1524,4096,,738,98,29,4096,4096
738,1,86,29,4096,,738,86,1,4096,4096
445,40,738,4096,4096,,738,445,40,4096,4096
173,119,29,738,40,,738,173,119,40,29
84,1009,1654,135,4096,,1654,1009,135,84,4096
445,738,628,4096,4096,,738,628,445,4096,4096
669,4096,4096,4096,4096,,669,4096,4096,4096,4096
1,188,338,256,4096,,338,256,188,1,4096
1,188,199,256,4096,,256,199,188,1,4096
362,252,111,240,4095,,199,188,1,4096,4096
1,267,188,199,4096,,267,199,188,1,4096
188,1,267,338,666,,338,267,188,1,4096
188,1,267,199,666,,666,267,199,188,1
188,199,1,338,242,,666,338,267,188,1
671,360,4096,4096,4096,,671,360,4096,4096,4096
120,846,3,4096,4096,,846,120,3,4096,4096
120,256,95,4096,4096,,256,120,95,4096,4096
