_init, basic@00400d30, 00400d30, 00400d49
FUN_00400d50, basic@00400d50, 00400d50, 00400d56
main, basic@00400fb0, 00400fb0, 00400fdc
main, basic@00400fe8, 00400fe8, 0040101d
main, basic@00401185, 00401185, 0040118b
main, basic@0040123f, 0040123f, 0040124d
main, basic@0040126a, 0040126a, 00401273
main, basic@0040124f, 0040124f, 00401265
main, basic@00401275, 00401275, 0040127c
main, basic@00401282, 00401282, 00401295
main, basic@00401191, 00401191, 00401194
main, basic@00401230, 00401230, 0040123a
main, basic@0040119a, 0040119a, 004011e1
main, basic@004011e1, 004011e1, 004011e1
main, basic@004011e5, 004011e5, 0040120d
main, basic@0040120f, 0040120f, 00401220
main, basic@00401220, 00401220, 00401220
main, basic@00401224, 00401224, 0040122b
main, basic@0040105a, 0040105a, 00401077
main, basic@0040129a, 0040129a, 004012a4
main, basic@0040107d, 0040107d, 0040108b
main, basic@00401091, 00401091, 0040109b
main, basic@004010a0, 004010a0, 004010aa
main, basic@004010af, 004010af, 004010b9
main, basic@00401024, 00401024, 0040102e
main, basic@004010be, 004010be, 004010d0
main, basic@004010d5, 004010d5, 004010df
main, basic@004010e4, 004010e4, 004010ee
main, basic@004010f3, 004010f3, 00401112
main, basic@00401117, 00401117, 00401134
main, basic@0040113a, 0040113a, 00401144
main, basic@00401044, 00401044, 00401044
main, basic@00401149, 00401149, 00401153
main, basic@00401158, 00401158, 00401162
main, basic@00401167, 00401167, 00401171
main, basic@00401038, 00401038, 00401042
main, basic@0040104e, 0040104e, 00401058
main, basic@00401176, 00401176, 00401180
_start, basic@004012a9, 004012a9, 004012cd
_start, basic@004012d2, 004012d2, 004012d2
deregister_tm_clones, basic@004012e0, 004012e0, 00401311
register_tm_clones, basic@00401320, 00401320, 00401359
__do_global_dtors_aux, basic@00401360, 00401360, 00401367
__do_global_dtors_aux, basic@00401369, 00401369, 00401373
__do_global_dtors_aux, basic@0040137a, 0040137a, 0040137a
frame_dummy, basic@00401380, 00401380, 0040138b
give_usage, basic@004013b0, 004013b0, 004013d0
update_system_time, basic@004013e0, 004013e0, 0040140a
update_system_time, basic@0040140a, 0040140a, 0040140a
update_system_time, basic@00401410, 00401410, 00401427
update_system_time, basic@00401429, 00401429, 00401437
update_system_time, basic@00401439, 00401439, 0040143e
update_system_time, basic@0040143f, 0040143f, 0040143f
do_statistics, basic@00401450, 00401450, 00401484
do_statistics, basic@00401646, 00401646, 00401652
do_statistics, basic@0040148a, 0040148a, 00401492
do_statistics, basic@0040150a, 0040150a, 0040151f
