_init, 00400d30
FUN_00400d50, 00400d50
__snprintf_chk, 00400d60
free, 00400d70
localtime, 00400d80
abort, 00400d90
strncpy, 00400da0
ftello, 00400db0
puts, 00400dc0
fread, 00400dd0
fclose, 00400de0
ctime, 00400df0
strlen, 00400e00
__stack_chk_fail, 00400e10
getopt_long, 00400e20
fputs, 00400e30
memset, 00400e40
fputc, 00400e50
__libc_start_main, 00400e60
memcmp, 00400e70
calloc, 00400e80
__gmon_start__, 00400e90
strtol, 00400ea0
memcpy, 00400eb0
time, 00400ec0
malloc, 00400ed0
mktime, 00400ee0
fseek, 00400ef0
realloc, 00400f00
__printf_chk, 00400f10
error, 00400f20
fopen, 00400f30
perror, 00400f40
__memset_chk, 00400f50
exit, 00400f60
fwrite, 00400f70
__fprintf_chk, 00400f80
__ctype_b_loc, 00400f90
__sprintf_chk, 00400fa0
main, 00400fb0
_start, 004012a9
deregister_tm_clones, 004012e0
register_tm_clones, 00401320
__do_global_dtors_aux, 00401360
frame_dummy, 00401380
give_usage, 004013b0
update_system_time, 004013e0
do_statistics, 00401450
update_user_time, 00401660
log_everyone_out, 004017d0
log_in, 004018a0
log_out, 00401a40
midnight_after_me, 00401b20
do_totals, 00401bd0
parse_entries, 00401d30
fatal, 00402280
file_open, 004022b0
print_wtmp_file_location, 004023a0
print_acct_file_location, 004023c0
print_acct_file_locations, 004023e0
file_reader_init, 00402440
file_reader_add_file, 004024c0
file_reader_get_entry, 00402520
file_reader_print_file_and_line, 00402770
get_key_len, 004027a0
hashtab_next, 00402800
hashtab_init, 00402850
hashtab_create, 00402890
hashtab_find, 00402bd0
hashtab_get_key, 00402cb0
hashtab_get_value, 00402cc0
hashtab_set_value, 00402cd0
hashtab_first, 00402d00
hashtab_next, 00402d20
hashtab_dump_keys, 00402d50
hashtab_delete, 00402de0
utmp_init, 00402e50
add_utmp_file, 00402e80
utmp_get_entry, 00402e90
print_utmp_record, 00402ea0
utmp_print_file_and_line, 00403030
fix_ut_type_field, 00403040
bad_utmp_record, 00403290
xmalloc, 004032a0
xrealloc, 004032c0
x2realloc, 004032e0
xzalloc, 00403330
xcalloc, 00403350
xmemdup, 00403370
xstrdup, 004033a0
xalloc_die, 004033c0
__libc_csu_init, 004033f0
__libc_csu_fini, 00403460
_fini, 00403464
__snprintf_chk, 00606000
free, 00606008
localtime, 00606010
abort, 00606018
strncpy, 00606020
ftello, 00606028
puts, 00606030
fread, 00606038
fclose, 00606040
ctime, 00606048
strlen, 00606050
__stack_chk_fail, 00606058
getopt_long, 00606060
fputs, 00606068
memset, 00606070
fputc, 00606078
__libc_start_main, 00606080
memcmp, 00606088
calloc, 00606090
__gmon_start__, 00606098
strtol, 006060a0
memcpy, 006060a8
time, 006060b0
malloc, 006060b8
mktime, 006060c0
fseek, 006060c8
realloc, 006060d0
__printf_chk, 006060d8
error, 006060e0
fopen, 006060e8
perror, 006060f0
__memset_chk, 006060f8
exit, 00606100
fwrite, 00606108
__fprintf_chk, 00606110
__ctype_b_loc, 00606118
__sprintf_chk, 00606120
