_init, 00010a2c
calloc, 00010a4c
raise, 00010a58
strcmp, 00010a64
strtol, 00010a70
free, 00010a7c
memcpy, 00010a88
__memset_chk, 00010a94
time, 00010aa0
memcmp, 00010aac
ctime, 00010ab8
__stack_chk_fail, 00010ac4
realloc, 00010ad0
perror, 00010adc
fwrite, 00010ae8
fread, 00010af4
error, 00010b00
getenv, 00010b0c
puts, 00010b18
malloc, 00010b24
__libc_start_main, 00010b30
localtime, 00010b3c
__ctype_b_loc, 00010b54
exit, 00010b60
strlen, 00010b6c
strchr, 00010b78
__sprintf_chk, 00010b84
memset, 00010b90
strncpy, 00010b9c
__printf_chk, 00010ba8
__fprintf_chk, 00010bb4
fclose, 00010bc0
fputc, 00010bcc
fopen64, 00010bd8
fseek, 00010be4
fputs, 00010bf0
strncmp, 00010bfc
abort, 00010c08
__snprintf_chk, 00010c14
ftello64, 00010c20
main, 00010c30
_start, 000111b0
call_weak_fn, 000111ec
deregister_tm_clones, 00011210
register_tm_clones, 00011240
__do_global_dtors_aux, 0001127c
frame_dummy, 000112a4
give_usage, 000112d8
update_system_time, 00011300
do_statistics, 00011378
update_user_time, 00011550
log_everyone_out, 000116c0
log_in, 00011788
log_out, 00011908
midnight_after_me, 00011a00
do_totals, 00011ab0
parse_entries, 00011c48
fatal, 0001213c
file_open, 00012178
print_wtmp_file_location, 0001226c
print_acct_file_location, 00012284
print_acct_file_locations, 0001229c
file_reader_init, 000122f8
file_reader_add_file, 00012340
file_reader_get_entry, 000123a4
file_reader_print_file_and_line, 00012628
get_key_len, 00012668
hashtab_next, 000126e4
hashtab_init, 00012750
hashtab_create, 0001277c
hashtab_find, 000129f0
hashtab_get_key, 00012ab0
hashtab_get_value, 00012ab8
hashtab_set_value, 00012ac0
hashtab_first, 00012aec
hashtab_next, 00012b04
hashtab_dump_keys, 00012b40
hashtab_delete, 00012bcc
utmp_init, 00012c38
add_utmp_file, 00012c5c
utmp_get_entry, 00012c70
print_utmp_record, 00012c80
utmp_print_file_and_line, 00012ddc
fix_ut_type_field, 00012dec
bad_utmp_record, 00012fd4
exchange, 00012fdc
_getopt_internal_r, 000130a8
rpl_getopt_internal, 00013dd8
rpl_getopt, 00013e78
rpl_getopt_long, 00013ea0
_getopt_long_r, 00013ec8
rpl_getopt_long_only, 00013ef0
_getopt_long_only_r, 00013f1c
ranged_convert, 00013f50
guess_time_tm, 00014010
mktime_internal, 00014140
rpl_mktime, 0001466c
xmalloc, 00014694
xrealloc, 000146bc
x2realloc, 000146e4
xzalloc, 00014738
xcalloc, 00014754
xmemdup, 00014768
xstrdup, 0001478c
xalloc_die, 000147a8
__aeabi_ldivmod, 000147ec
__aeabi_idiv0, 00014834
__gnu_ldivmod_helper, 00014844
__gnu_uldivmod_helper, 00014880
__divdi3, 000148bc
__udivdi3, 00014c8c
__libc_csu_init, 00015000
__libc_csu_fini, 00015060
_fini, 00015064
calloc, 00027000
raise, 00027004
strcmp, 00027008
strtol, 0002700c
free, 00027010
memcpy, 00027014
__memset_chk, 00027018
time, 0002701c
memcmp, 00027020
ctime, 00027024
__stack_chk_fail, 00027028
realloc, 0002702c
localtime_r, 00027030
perror, 00027034
fwrite, 00027038
fread, 0002703c
error, 00027040
getenv, 00027044
puts, 00027048
malloc, 0002704c
__libc_start_main, 00027050
localtime, 00027054
__gmon_start__, 00027058
__ctype_b_loc, 0002705c
exit, 00027060
strlen, 00027064
strchr, 00027068
__sprintf_chk, 0002706c
memset, 00027070
strncpy, 00027074
__printf_chk, 00027078
__fprintf_chk, 0002707c
fclose, 00027080
fputc, 00027084
fopen64, 00027088
fseek, 0002708c
fputs, 00027090
strncmp, 00027094
abort, 00027098
__snprintf_chk, 0002709c
ftello64, 000270a0
