_init, basic@0804885c, 0804885c, 0804887e
FUN_08048880, basic@08048880, 08048880, 08048886
main, basic@08048af0, 08048af0, 08048b28
main, basic@08048b30, 08048b30, 08048b61
main, basic@08048cd1, 08048cd1, 08048cd7
main, basic@08048da0, 08048da0, 08048db2
main, basic@08048dd1, 08048dd1, 08048dd8
main, basic@08048db4, 08048db4, 08048dce
main, basic@08048dda, 08048dda, 08048de1
main, basic@08048de7, 08048de7, 08048dfd
main, basic@08048cdd, 08048cdd, 08048ce1
main, basic@08048d8b, 08048d8b, 08048d9b
main, basic@08048ce7, 08048ce7, 08048d25
main, basic@08048d27, 08048d27, 08048d27
main, basic@08048d29, 08048d29, 08048d61
main, basic@08048d63, 08048d63, 08048d6f
main, basic@08048d71, 08048d71, 08048d71
main, basic@08048d76, 08048d76, 08048d86
main, basic@08048b9e, 08048b9e, 08048bb8
main, basic@08048e02, 08048e02, 08048e12
main, basic@08048bbe, 08048bbe, 08048bc9
main, basic@08048bcf, 08048bcf, 08048bdf
main, basic@08048be4, 08048be4, 08048bee
main, basic@08048bf3, 08048bf3, 08048bfd
main, basic@08048b68, 08048b68, 08048b72
main, basic@08048c02, 08048c02, 08048c1a
main, basic@08048c1f, 08048c1f, 08048c29
main, basic@08048c2e, 08048c2e, 08048c38
main, basic@08048c3d, 08048c3d, 08048c5b
main, basic@08048c60, 08048c60, 08048c7a
main, basic@08048c80, 08048c80, 08048c90
main, basic@08048b88, 08048b88, 08048b88
main, basic@08048c95, 08048c95, 08048c9f
main, basic@08048ca4, 08048ca4, 08048cae
main, basic@08048cb3, 08048cb3, 08048cbd
main, basic@08048b7c, 08048b7c, 08048b86
main, basic@08048b92, 08048b92, 08048b9c
main, basic@08048cc2, 08048cc2, 08048ccc
_start, basic@08048e17, 08048e17, 08048e33
_start, basic@08048e38, 08048e38, 08048e38
__x86.get_pc_thunk.bx, basic@08048e40, 08048e40, 08048e43
deregister_tm_clones, basic@08048e50, 08048e50, 08048e79
register_tm_clones, basic@08048e80, 08048e80, 08048eb3
__do_global_dtors_aux, basic@08048ec0, 08048ec0, 08048ec7
__do_global_dtors_aux, basic@08048ec9, 08048ec9, 08048edb
__do_global_dtors_aux, basic@08048edc, 08048edc, 08048edc
frame_dummy, basic@08048ee0, 08048ee0, 08048eeb
give_usage, basic@08048f10, 08048f10, 08048f28
update_system_time, basic@08048f30, 08048f30, 08048f5a
update_system_time, basic@08048f5a, 08048f5a, 08048f5a
update_system_time, basic@08048f60, 08048f60, 08048f79
update_system_time, basic@08048f7b, 08048f7b, 08048f86
update_system_time, basic@08048f8e, 08048f8e, 08048f8e
update_system_time, basic@08048f88, 08048f88, 08048f8d
do_statistics, basic@08048fa0, 08048fa0, 08048fd2
do_statistics, basic@080490ed, 080490ed, 080490f6
do_statistics, basic@08048fd8, 08048fd8, 08048fda
do_statistics, basic@08048fe0, 08048fe0, 08048ff5
do_statistics, basic@08048ff7, 08048ff7, 08049008
do_statistics, basic@0804900a, 0804900a, 08049022
do_statistics, basic@08049024, 08049024, 08049026
do_statistics, basic@08049028, 08049028, 08049030
do_statistics, basic@08049032, 08049032, 08049055
do_statistics, basic@08049057, 08049057, 08049057
do_statistics, basic@0804905c, 0804905c, 08049076
do_statistics, basic@08049079, 08049079, 08049091
do_statistics, basic@08049097, 08049097, 080490b5
do_statistics, basic@08049100, 08049100, 0804910d
do_statistics, basic@08049150, 08049150, 08049155
do_statistics, basic@0804910f, 0804910f, 08049127
do_statistics, basic@080490b7, 080490b7, 080490c4
do_statistics, basic@080490c6, 080490c6, 080490ce
do_statistics, basic@080490d0, 080490d0, 080490eb
do_statistics, basic@08049138, 08049138, 08049143
do_statistics, basic@08049157, 08049157, 08049157
do_statistics, basic@08049145, 08049145, 0804914c
update_user_time, basic@08049160, 08049160, 08049180
update_user_time, basic@08049220, 08049220, 08049258
update_user_time, basic@08049186, 08049186, 0804918d
update_user_time, basic@0804918f, 0804918f, 08049196
update_user_time, basic@08049198, 08049198, 080491a9
update_user_time, basic@080491ab, 080491ab, 080491dc
update_user_time, basic@080491df, 080491df, 080491f5
update_user_time, basic@08049260, 08049260, 08049294
update_user_time, basic@080491f7, 080491f7, 08049210
update_user_time, basic@08049299, 08049299, 08049299
update_user_time, basic@08049216, 08049216, 0804921c
log_everyone_out, basic@080492a0, 080492a0, 080492da
log_everyone_out, basic@080492da, 080492da, 080492da
log_everyone_out, basic@080492fd, 080492fd, 0804930b
log_everyone_out, basic@080492e0, 080492e0, 080492e2
log_everyone_out, basic@0804930d, 0804930d, 0804932f
log_everyone_out, basic@080492e4, 080492e4, 080492e8
log_everyone_out, basic@08049331, 08049331, 0804933d
log_everyone_out, basic@080492eb, 080492eb, 080492fb
log_everyone_out, basic@08049340, 08049340, 0804934b
log_everyone_out, basic@08049355, 08049355, 08049355
log_everyone_out, basic@0804934d, 0804934d, 08049354
log_in, basic@08049360, 08049360, 0804937a
log_in, basic@080493a0, 080493a0, 080493bb
log_in, basic@08049490, 08049490, 080494cd
log_in, basic@080493c1, 080493c1, 080493d7
log_in, basic@08049450, 08049450, 08049481
log_in, basic@080493d9, 080493d9, 080493e0
log_in, basic@08049430, 08049430, 0804944b
log_in, basic@080493e2, 080493e2, 080493fd
log_in, basic@0804937c, 0804937c, 08049384
log_in, basic@08049400, 08049400, 08049425
log_in, basic@08049386, 08049386, 08049391
log_in, basic@080494d2, 080494d2, 080494d2
log_in, basic@08049397, 08049397, 0804939d
log_out, basic@080494e0, 080494e0, 080494eb
log_out, basic@08049500, 08049500, 0804951b
log_out, basic@08049580, 08049580, 08049587
log_out, basic@0804958d, 0804958d, 080495b5
log_out, basic@0804951d, 0804951d, 08049548
log_out, basic@080494ed, 080494ed, 080494f5
log_out, basic@08049550, 08049550, 08049578
log_out, basic@080494f7, 080494f7, 080494fa
midnight_after_me, basic@080495c0, 080495c0, 08049664
midnight_after_me, basic@0804966a, 0804966a, 0804966a
midnight_after_me, basic@08049666, 08049666, 08049669
do_totals, basic@08049670, 08049670, 080496a9
do_totals, basic@080496a9, 080496a9, 080496a9
do_totals, basic@080496b0, 080496b0, 080496c9
do_totals, basic@08049700, 08049700, 08049721
do_totals, basic@08049790, 08049790, 080497a5
do_totals, basic@08049723, 08049723, 0804973a
do_totals, basic@0804973f, 0804973f, 08049770
do_totals, basic@08049776, 08049776, 0804977d
do_totals, basic@08049783, 08049783, 08049785
do_totals, basic@080496cd, 080496cd, 080496dd
do_totals, basic@080496df, 080496df, 080496ed
do_totals, basic@080497a7, 080497a7, 080497a7
do_totals, basic@080496f3, 080496f3, 080496fd
parse_entries, basic@080497b0, 080497b0, 080497dc
parse_entries, basic@080497e0, 080497e0, 080497e9
parse_entries, basic@080497e9, 080497e9, 080497e9
parse_entries, basic@08049860, 08049860, 0804986b
parse_entries, basic@08049871, 08049871, 08049878
parse_entries, basic@08049cf8, 08049cf8, 08049cf8
parse_entries, basic@080497eb, 080497eb, 080497f2
parse_entries, basic@08049b00, 08049b00, 08049b25
parse_entries, basic@080497f8, 080497f8, 08049806
parse_entries, basic@08049808, 08049808, 08049810
parse_entries, basic@08049bc0, 08049bc0, 08049be5
parse_entries, basic@08049816, 08049816, 08049824
parse_entries, basic@08049880, 08049880, 08049883
parse_entries, basic@08049ba0, 08049ba0, 08049bb6
parse_entries, basic@08049889, 08049889, 08049893
parse_entries, basic@08049895, 08049895, 080498a5
parse_entries, basic@080498ab, 080498ab, 080498b3
parse_entries, basic@08049b30, 08049b30, 08049b37
parse_entries, basic@08049bf0, 08049bf0, 08049c46
parse_entries, basic@08049b3d, 08049b3d, 08049b88
parse_entries, basic@080498be, 080498be, 080498dc
parse_entries, basic@080499d0, 080499d0, 080499d4
parse_entries, basic@08049cc0, 08049cc0, 08049cc8
parse_entries, basic@08049cce, 08049cce, 08049cf3
parse_entries, basic@080498e2, 080498e2, 080498e5
parse_entries, basic@08049aa8, 08049aa8, 08049aac
parse_entries, basic@080499da, 080499da, 080499de
parse_entries, basic@080499e4, 080499e4, 080499fa
parse_entries, basic@08049c50, 08049c50, 08049c66
parse_entries, basic@08049ad0, 08049ad0, 08049aec
parse_entries, basic@08049b94, 08049b94, 08049b94
parse_entries, basic@08049908, 08049908, 08049939
parse_entries, basic@08049c78, 08049c78, 08049c80
parse_entries, basic@08049c86, 08049c86, 08049cb5
parse_entries, basic@08049a60, 08049a60, 08049a68
parse_entries, basic@08049a6d, 08049a6d, 08049a6d
parse_entries, basic@08049a6d, 08049a6d, 08049a6d
parse_entries, basic@08049a6f, 08049a6f, 08049a6f
parse_entries, basic@08049a71, 08049a71, 08049a96
parse_entries, basic@08049a08, 08049a08, 08049a10
parse_entries, basic@08049a15, 08049a15, 08049a15
parse_entries, basic@08049a15, 08049a15, 08049a15
parse_entries, basic@08049a17, 08049a17, 08049a17
parse_entries, basic@08049a19, 08049a19, 08049a1e
parse_entries, basic@08049a20, 08049a20, 08049a22
parse_entries, basic@08049a30, 08049a30, 08049a51
parse_entries, basic@08049abc, 08049abc, 08049abc
parse_entries, basic@08049950, 08049950, 08049966
parse_entries, basic@08049966, 08049966, 08049966
parse_entries, basic@08049970, 08049970, 080499bf
parse_entries, basic@080499c1, 080499c1, 080499c3
parse_entries, basic@08049826, 08049826, 0804982d
parse_entries, basic@0804982f, 0804982f, 0804985d
fatal, basic@08049d00, 08049d00, 08049d24
file_open, basic@08049d30, 08049d30, 08049d49
file_open, basic@08049df1, 08049df1, 08049e17
file_open, basic@08049d4f, 08049d4f, 08049d52
file_open, basic@08049d90, 08049d90, 08049d94
file_open, basic@08049d96, 08049d96, 08049da1
file_open, basic@08049da3, 08049da3, 08049da9
file_open, basic@08049d54, 08049d54, 08049d5e
file_open, basic@08049d60, 08049d60, 08049d60
file_open, basic@08049d65, 08049d65, 08049d76
file_open, basic@08049db0, 08049db0, 08049dea
file_open, basic@08049d78, 08049d78, 08049d84
file_open, basic@08049dec, 08049dec, 08049dec
file_open, basic@08049d86, 08049d86, 08049d8d
print_wtmp_file_location, basic@08049e00, 08049e00, 08049e17
print_acct_file_location, basic@08049e20, 08049e20, 08049e37
print_acct_file_locations, basic@08049e40, 08049e40, 08049e8c
file_reader_init, basic@08049e90, 08049e90, 08049ec4
file_reader_init, basic@08049ec7, 08049ec7, 08049ec7
file_reader_init, basic@08049ec9, 08049ec9, 08049eed
file_reader_init, basic@08049ec7, 08049ec7, 08049ec7
file_reader_add_file, basic@08049ef0, 08049ef0, 08049f13
file_reader_add_file, basic@08049f31, 08049f31, 08049f37
file_reader_add_file, basic@08049f15, 08049f15, 08049f1a
file_reader_add_file, basic@08049f1a, 08049f1a, 08049f1a
file_reader_add_file, basic@08049f22, 08049f22, 08049f27
file_reader_add_file, basic@08049f29, 08049f29, 08049f30
file_reader_get_entry, basic@08049f40, 08049f40, 08049f55
file_reader_get_entry, basic@08049f5b, 08049f5b, 08049f60
file_reader_get_entry, basic@08049f62, 08049f62, 08049f67
file_reader_get_entry, basic@08049f69, 08049f69, 08049f7e
file_reader_get_entry, basic@0804a0e8, 0804a0e8, 0804a0f8
file_reader_get_entry, basic@08049f84, 08049f84, 08049f86
file_reader_get_entry, basic@0804a148, 0804a148, 0804a15a
file_reader_get_entry, basic@08049f8c, 08049f8c, 08049f97
file_reader_get_entry, basic@08049f9a, 08049f9a, 08049fa6
file_reader_get_entry, basic@08049fa8, 08049fa8, 08049fac
file_reader_get_entry, basic@0804a0dd, 0804a0dd, 0804a171
file_reader_get_entry, basic@08049fb2, 08049fb2, 08049fc6
file_reader_get_entry, basic@08049fc8, 08049fc8, 08049fcd
file_reader_get_entry, basic@0804a110, 0804a110, 0804a126
file_reader_get_entry, basic@08049fd3, 08049fd3, 08049fe3
file_reader_get_entry, basic@08049fe8, 08049fe8, 08049fff
file_reader_get_entry, basic@0804a001, 0804a001, 0804a037
file_reader_get_entry, basic@0804a162, 0804a162, 0804a16a
file_reader_get_entry, basic@0804a03d, 0804a03d, 0804a05c
file_reader_get_entry, basic@0804a19b, 0804a19b, 0804a1c2
file_reader_get_entry, basic@0804a062, 0804a062, 0804a077
file_reader_get_entry, basic@0804a1c7, 0804a1c7, 0804a1d7
file_reader_get_entry, basic@0804a07d, 0804a07d, 0804a085
file_reader_get_entry, basic@0804a180, 0804a180, 0804a196
file_reader_get_entry, basic@0804a08b, 0804a08b, 0804a0b2
file_reader_get_entry, basic@0804a0b4, 0804a0b4, 0804a0b9
file_reader_get_entry, basic@0804a15a, 0804a15a, 0804a15a
file_reader_get_entry, basic@0804a130, 0804a130, 0804a143
file_reader_get_entry, basic@0804a0bb, 0804a0bb, 0804a0d6
file_reader_get_entry, basic@0804a0d9, 0804a0d9, 0804a0e4
file_reader_print_file_and_line, basic@0804a1e0, 0804a1e0, 0804a1ef
file_reader_print_file_and_line, basic@0804a210, 0804a210, 0804a215
file_reader_print_file_and_line, basic@0804a1f1, 0804a1f1, 0804a209
get_key_len, basic@0804a220, 0804a220, 0804a228
get_key_len, basic@0804a22a, 0804a22a, 0804a22c
get_key_len, basic@0804a270, 0804a270, 0804a27d
get_key_len, basic@0804a22e, 0804a22e, 0804a232
get_key_len, basic@0804a234, 0804a234, 0804a238
get_key_len, basic@0804a280, 0804a280, 0804a296
get_key_len, basic@0804a240, 0804a240, 0804a244
get_key_len, basic@0804a2a0, 0804a2a0, 0804a2b0
get_key_len, basic@0804a250, 0804a250, 0804a253
get_key_len, basic@0804a255, 0804a255, 0804a25b
get_key_len, basic@0804a25d, 0804a25d, 0804a265
hashtab_next, basic@0804a2c0, 0804a2c0, 0804a2cb
hashtab_next, basic@0804a2cd, 0804a2cd, 0804a2d5
hashtab_next, basic@0804a2d5, 0804a2d5, 0804a2d5
hashtab_next, basic@0804a2e7, 0804a2e7, 0804a2ec
hashtab_next, basic@0804a2ee, 0804a2ee, 0804a2f2
hashtab_next, basic@0804a2e0, 0804a2e0, 0804a2e5
hashtab_next, basic@0804a2f8, 0804a2f8, 0804a30a
hashtab_init, basic@0804a310, 0804a310, 0804a33f
hashtab_create, basic@0804a340, 0804a340, 0804a350
hashtab_create, basic@0804a5a3, 0804a5a3, 0804a5db
hashtab_create, basic@0804a356, 0804a356, 0804a36c
hashtab_create, basic@0804a595, 0804a595, 0804a59e
hashtab_create, basic@0804a372, 0804a372, 0804a37c
hashtab_create, basic@0804a380, 0804a380, 0804a394
hashtab_create, basic@0804a396, 0804a396, 0804a3a1
hashtab_create, basic@0804a3a4, 0804a3a4, 0804a3ac
hashtab_create, basic@0804a3ac, 0804a3ac, 0804a3ac
hashtab_create, basic@0804a3c7, 0804a3c7, 0804a3ca
hashtab_create, basic@0804a3cc, 0804a3cc, 0804a3de
hashtab_create, basic@0804a3e0, 0804a3e0, 0804a3f0
hashtab_create, basic@0804a3c0, 0804a3c0, 0804a3c5
hashtab_create, basic@0804a3f5, 0804a3f5, 0804a455
hashtab_create, basic@0804a457, 0804a457, 0804a457
hashtab_create, basic@0804a45a, 0804a45a, 0804a46c
hashtab_create, basic@0804a476, 0804a476, 0804a4fa
hashtab_create, basic@0804a4fc, 0804a4fc, 0804a504
hashtab_create, basic@0804a504, 0804a504, 0804a504
hashtab_create, basic@0804a510, 0804a510, 0804a51a
hashtab_create, basic@0804a58f, 0804a58f, 0804a593
hashtab_create, basic@0804a51c, 0804a51c, 0804a51e
hashtab_create, basic@0804a520, 0804a520, 0804a534
hashtab_create, basic@0804a536, 0804a536, 0804a53b
hashtab_create, basic@0804a542, 0804a542, 0804a558
hashtab_create, basic@0804a55a, 0804a55a, 0804a55a
hashtab_create, basic@0804a55d, 0804a55d, 0804a563
hashtab_create, basic@0804a565, 0804a565, 0804a572
hashtab_create, basic@0804a574, 0804a574, 0804a58e
hashtab_create, basic@0804a46e, 0804a46e, 0804a475
hashtab_find, basic@0804a5e0, 0804a5e0, 0804a5f4
hashtab_find, basic@0804a5fa, 0804a5fa, 0804a612
hashtab_find, basic@0804a68a, 0804a68a, 0804a68c
hashtab_find, basic@0804a614, 0804a614, 0804a61c
hashtab_find, basic@0804a620, 0804a620, 0804a634
hashtab_find, basic@0804a636, 0804a636, 0804a63e
hashtab_find, basic@0804a641, 0804a641, 0804a649
hashtab_find, basic@0804a649, 0804a649, 0804a649
hashtab_find, basic@0804a657, 0804a657, 0804a65a
hashtab_find, basic@0804a65c, 0804a65c, 0804a66d
hashtab_find, basic@0804a66f, 0804a66f, 0804a678
hashtab_find, basic@0804a650, 0804a650, 0804a655
hashtab_find, basic@0804a680, 0804a680, 0804a689
hashtab_get_key, basic@0804a690, 0804a690, 0804a696
hashtab_get_value, basic@0804a6a0, 0804a6a0, 0804a6a7
hashtab_set_value, basic@0804a6b0, 0804a6b0, 0804a6dd
hashtab_first, basic@0804a6f0, 0804a6f0, 0804a708
hashtab_next, basic@0804a710, 0804a710, 0804a719
hashtab_next, basic@0804a738, 0804a738, 0804a73a
hashtab_next, basic@0804a71b, 0804a71b, 0804a723
hashtab_next, basic@0804a730, 0804a730, 0804a733
hashtab_next, basic@0804a725, 0804a725, 0804a725
