_init, basic@00400630, 00400630, 00400649
FUN_00400650, basic@00400650, 00400650, 00400656
main, basic@00400680, 00400680, 0040068a
_start, basic@0040068b, 0040068b, 004006af
_start, basic@004006b4, 004006b4, 004006b4
deregister_tm_clones, basic@004006c0, 004006c0, 004006f1
register_tm_clones, basic@00400700, 00400700, 00400739
__do_global_dtors_aux, basic@00400740, 00400740, 00400747
__do_global_dtors_aux, basic@00400749, 00400749, 00400753
__do_global_dtors_aux, basic@0040075a, 0040075a, 0040075a
frame_dummy, basic@00400760, 00400760, 0040076b
__libc_csu_init, basic@00400790, 00400790, 004007c8
__libc_csu_init, basic@004007d0, 004007d0, 004007e4
__libc_csu_init, basic@004007e6, 004007e6, 004007f4
__libc_csu_fini, basic@00400800, 00400800, 00400800
_fini, basic@00400804, 00400804, 0040080c
