_init, (register, 0x200, 1) INT_LESS (register, 0x20, 8) , (const, 0x8, 8)
_init, (register, 0x20b, 1) INT_SBORROW (register, 0x20, 8) , (const, 0x8, 8)
_init, (register, 0x20, 8) INT_SUB (register, 0x20, 8) , (const, 0x8, 8)
_init, (register, 0x207, 1) INT_SLESS (register, 0x20, 8) , (const, 0x0, 8)
_init, (register, 0x206, 1) INT_EQUAL (register, 0x20, 8) , (const, 0x0, 8)
_init, (unique, 0x12c00, 8) INT_AND (register, 0x20, 8) , (const, 0xff, 8)
_init, (unique, 0x12c80, 1) POPCOUNT (unique, 0x12c00, 8)
_init, (unique, 0x12d00, 1) INT_AND (unique, 0x12c80, 1) , (const, 0x1, 1)
_init, (register, 0x202, 1) INT_EQUAL (unique, 0x12d00, 1) , (const, 0x0, 1)
_init, (register, 0x0, 8) COPY (ram, 0x600ff8, 8)
_init, (register, 0x200, 1) COPY (const, 0x0, 1)
_init, (register, 0x20b, 1) COPY (const, 0x0, 1)
_init, (unique, 0x59300, 8) INT_AND (register, 0x0, 8) , (register, 0x0, 8)
_init, (register, 0x207, 1) INT_SLESS (unique, 0x59300, 8) , (const, 0x0, 8)
_init, (register, 0x206, 1) INT_EQUAL (unique, 0x59300, 8) , (const, 0x0, 8)
_init, (unique, 0x12c00, 8) INT_AND (unique, 0x59300, 8) , (const, 0xff, 8)
_init, (unique, 0x12c80, 1) POPCOUNT (unique, 0x12c00, 8)
_init, (unique, 0x12d00, 1) INT_AND (unique, 0x12c80, 1) , (const, 0x1, 1)
_init, (register, 0x202, 1) INT_EQUAL (unique, 0x12d00, 1) , (const, 0x0, 1)
_init,  ---  CBRANCH (ram, 0x400645, 8) , (register, 0x206, 1)
_init, (register, 0x20, 8) INT_SUB (register, 0x20, 8) , (const, 0x8, 8)
_init,  ---  STORE (const, 0x1b1, 8) , (register, 0x20, 8) , (const, 0x400645, 8)
_init,  ---  CALL (ram, 0x400670, 8)
_init, (register, 0x200, 1) INT_CARRY (register, 0x20, 8) , (const, 0x8, 8)
_init, (register, 0x20b, 1) INT_SCARRY (register, 0x20, 8) , (const, 0x8, 8)
