_init, basic@00010534, 00010534, 0001053c
main, basic@00010578, 00010578, 00010584
_start, basic@00010588, 00010588, 000105b4
call_weak_fn, basic@00010560, 00010560, 000105dc
deregister_tm_clones, basic@000105e8, 000105e8, 000105f8
register_tm_clones, basic@00010618, 00010618, 00010634
__do_global_dtors_aux, basic@00010654, 00010654, 00010664
__do_global_dtors_aux, basic@00010668, 00010668, 00010674
__do_global_dtors_aux, basic@00010664, 00010664, 00010664
frame_dummy, basic@0001067c, 0001067c, 000106a4
__libc_csu_init, basic@000106b0, 000106b0, 000106e0
__libc_csu_init, basic@000106e4, 000106e4, 00010700
__libc_csu_init, basic@00010704, 00010704, 00010704
__libc_csu_fini, basic@00010710, 00010710, 00010710
_fini, basic@00010714, 00010714, 00010718
