_init, basic@08048498, 08048498, 080484ba
FUN_080484c0, basic@080484c0, 080484c0, 080484c6
main, basic@080484f0, 080484f0, 080484fb
_start, basic@080484fc, 080484fc, 08048518
_start, basic@0804851d, 0804851d, 0804851d
__x86.get_pc_thunk.bx, basic@08048520, 08048520, 08048523
deregister_tm_clones, basic@08048530, 08048530, 08048559
register_tm_clones, basic@08048560, 08048560, 08048593
__do_global_dtors_aux, basic@080485a0, 080485a0, 080485a7
__do_global_dtors_aux, basic@080485a9, 080485a9, 080485bb
__do_global_dtors_aux, basic@080485bc, 080485bc, 080485bc
frame_dummy, basic@080485c0, 080485c0, 080485cb
__libc_csu_init, basic@080485f0, 080485f0, 08048622
__libc_csu_init, basic@08048628, 08048628, 08048647
__libc_csu_init, basic@08048649, 08048649, 08048650
__libc_csu_fini, basic@08048660, 08048660, 08048660
_fini, basic@08048664, 08048664, 08048677
