_init, basic@00400370, 00400370, 00400389
FUN_00400390, basic@00400390, 00400390, 00400396
main, basic@004003c0, 004003c0, 004003fe
_start, basic@004003ff, 004003ff, 00400423
_start, basic@00400428, 00400428, 00400428
deregister_tm_clones, basic@00400430, 00400430, 00400461
register_tm_clones, basic@00400470, 00400470, 004004a9
__do_global_dtors_aux, basic@004004b0, 004004b0, 004004b7
__do_global_dtors_aux, basic@004004b9, 004004b9, 004004c3
__do_global_dtors_aux, basic@004004ca, 004004ca, 004004ca
frame_dummy, basic@004004d0, 004004d0, 004004db
__libc_csu_init, basic@00400500, 00400500, 00400538
__libc_csu_init, basic@00400540, 00400540, 00400554
__libc_csu_init, basic@00400556, 00400556, 00400564
__libc_csu_fini, basic@00400570, 00400570, 00400570
_fini, basic@00400574, 00400574, 0040057c
