_init, basic@00010278, 00010278, 00010280
main, basic@000102bc, 000102bc, 00010304
_start, basic@00010308, 00010308, 00010334
call_weak_fn, basic@000102a4, 000102a4, 0001035c
deregister_tm_clones, basic@00010368, 00010368, 00010378
register_tm_clones, basic@00010398, 00010398, 000103b4
__do_global_dtors_aux, basic@000103d4, 000103d4, 000103e4
__do_global_dtors_aux, basic@000103e8, 000103e8, 000103f4
__do_global_dtors_aux, basic@000103e4, 000103e4, 000103e4
frame_dummy, basic@000103fc, 000103fc, 00010424
__libc_csu_init, basic@00010430, 00010430, 00010460
__libc_csu_init, basic@00010464, 00010464, 00010480
__libc_csu_init, basic@00010484, 00010484, 00010484
__libc_csu_fini, basic@00010490, 00010490, 00010490
_fini, basic@00010494, 00010494, 00010498
