_init, (register, 0x80, 4) INT_SUB (register, 0x54, 4) , (const, 0x4, 4)
_init,  ---  STORE (const, 0x1a1, 8) , (register, 0x80, 4) , (register, 0x58, 4)
_init, (register, 0x80, 4) INT_SUB (register, 0x80, 4) , (const, 0x4, 4)
_init,  ---  STORE (const, 0x1a1, 8) , (register, 0x80, 4) , (register, 0x2c, 4)
_init, (register, 0x80, 4) INT_SUB (register, 0x80, 4) , (const, 0x4, 4)
_init, (register, 0x54, 4) INT_ADD (register, 0x80, 4) , (const, 0x4, 4)
_init, (register, 0x58, 4) COPY (const, 0x10280, 4)
_init,  ---  CALL (ram, 0x10344, 4)
_init, (register, 0x80, 4) COPY (register, 0x54, 4)
_init, (register, 0x2c, 4) LOAD (const, 0x1a1, 8) , (register, 0x80, 4)
_init, (register, 0x80, 4) INT_ADD (register, 0x80, 4) , (const, 0x4, 4)
_init, (register, 0x5c, 4) LOAD (const, 0x1a1, 8) , (register, 0x80, 4)
_init, (register, 0x80, 4) INT_ADD (register, 0x80, 4) , (const, 0x4, 4)
_init, (register, 0x54, 4) COPY (register, 0x80, 4)
_init, (unique, 0x0, 4) INT_AND (register, 0x5c, 4) , (const, 0x1, 4)
_init, (register, 0xb0, 1) INT_NOTEQUAL (unique, 0x0, 4) , (const, 0x0, 4)
_init, (register, 0x69, 1) COPY (register, 0xb0, 1)
_init, (register, 0x5c, 4) INT_AND (register, 0x5c, 4) , (const, 0xfffffffe, 4)
_init,  ---  RETURN (register, 0x5c, 4)
__libc_start_main, (register, 0x50, 4) COPY (const, 0x102a0, 4)
__libc_start_main, (unique, 0x2e80, 4) INT_RIGHT (const, 0x10000, 4) , (const, 0x1f, 4)
__libc_start_main, (unique, 0x2f00, 1) INT_EQUAL (const, 0xa, 1) , (const, 0x0, 1)
__libc_start_main, (unique, 0x2f80, 1) BOOL_AND (unique, 0x2f00, 1) , (register, 0x62, 1)
__libc_start_main, (unique, 0x3000, 1) INT_NOTEQUAL (const, 0xa, 1) , (const, 0x0, 1)
__libc_start_main, (unique, 0x3080, 1) SUBPIECE (unique, 0x2e80, 4) , (const, 0x0, 4)
__libc_start_main, (unique, 0x3100, 1) BOOL_AND (unique, 0x3000, 1) , (unique, 0x3080, 1)
__libc_start_main, (register, 0x68, 1) BOOL_OR (unique, 0x2f80, 1) , (unique, 0x3100, 1)
__libc_start_main, (register, 0x66, 1) INT_CARRY (register, 0x50, 4) , (const, 0x10000, 4)
__libc_start_main, (register, 0x67, 1) INT_SCARRY (register, 0x50, 4) , (const, 0x10000, 4)
__libc_start_main, (register, 0x50, 4) INT_ADD (register, 0x50, 4) , (const, 0x10000, 4)
__libc_start_main, (register, 0x64, 1) INT_SLESS (register, 0x50, 4) , (const, 0x0, 4)
__libc_start_main, (register, 0x65, 1) INT_EQUAL (register, 0x50, 4) , (const, 0x0, 4)
__libc_start_main, (register, 0x50, 4) INT_ADD (register, 0x50, 4) , (const, 0xd6c, 4)
