_init, basic@08048274, 08048274, 08048296
FUN_080482a0, basic@080482a0, 080482a0, 080482a6
main, basic@080482d0, 080482d0, 08048309
_start, basic@0804830a, 0804830a, 08048326
_start, basic@0804832b, 0804832b, 0804832b
__x86.get_pc_thunk.bx, basic@08048330, 08048330, 08048333
deregister_tm_clones, basic@08048340, 08048340, 08048369
register_tm_clones, basic@08048370, 08048370, 080483a3
__do_global_dtors_aux, basic@080483b0, 080483b0, 080483b7
__do_global_dtors_aux, basic@080483b9, 080483b9, 080483cb
__do_global_dtors_aux, basic@080483cc, 080483cc, 080483cc
frame_dummy, basic@080483d0, 080483d0, 080483db
__libc_csu_init, basic@08048400, 08048400, 08048432
__libc_csu_init, basic@08048438, 08048438, 08048457
__libc_csu_init, basic@08048459, 08048459, 08048460
__libc_csu_fini, basic@08048470, 08048470, 08048470
_fini, basic@08048474, 08048474, 08048487
