_init, basic@001022e8, 001022e8, 00102301
FUN_00102310, basic@00102310, 00102310, 00102316
free_pattern_chain, basic@00102630, 00102630, 00102635
free_pattern_chain, basic@00102636, 00102636, 00102639
free_pattern_chain, basic@0010266b, 0010266b, 0010266e
free_pattern_chain, basic@0010263b, 0010263b, 00102645
free_pattern_chain, basic@00102647, 00102647, 00102647
free_pattern_chain, basic@0010264c, 0010264c, 00102653
free_pattern_chain, basic@00102655, 00102655, 0010265c
free_pattern_chain, basic@0010265e, 0010265e, 00102669
compile_pattern, basic@0010266f, 0010266f, 001026a4
compile_pattern, basic@001026a7, 001026a7, 001026a7
compile_pattern, basic@001026a7, 001026a7, 001026a7
compile_pattern, basic@001026a9, 001026a9, 001026b4
compile_pattern, basic@001026c0, 001026c0, 001026ce
compile_pattern, basic@001026d0, 001026d0, 001026f3
compile_pattern, basic@001026f5, 001026f5, 00102710
compile_pattern, basic@00102716, 00102716, 00102720
compile_pattern, basic@00102723, 00102723, 00102792
compile_pattern, basic@00102798, 00102798, 0010279d
compile_pattern, basic@001027a1, 001027a1, 001027a1
compile_pattern, basic@001027a1, 001027a1, 001027a1
compile_pattern, basic@001027a3, 001027a3, 001027b0
compile_pattern, basic@001027b0, 001027b0, 001027b0
compile_pattern, basic@001027b5, 001027b5, 001027c0
compile_pattern, basic@001027f7, 001027f7, 001027ff
compile_pattern, basic@0010282b, 0010282b, 0010284d
compile_pattern, basic@00102854, 00102854, 00102857
compile_pattern, basic@0010285e, 0010285e, 0010286c
compile_pattern, basic@00102882, 00102882, 0010288b
compile_pattern, basic@0010286e, 0010286e, 00102871
compile_pattern, basic@0010288d, 0010288d, 00102896
compile_pattern, basic@00102873, 00102873, 00102875
compile_pattern, basic@00102898, 00102898, 0010289d
compile_pattern, basic@00102877, 00102877, 00102880
compile_pattern, basic@001028a1, 001028a1, 001028cf
compile_pattern, basic@00102859, 00102859, 0010285c
compile_pattern, basic@00102801, 00102801, 00102826
compile_pattern, basic@001027c2, 001027c2, 001027f2
compile_pattern, basic@001026b6, 001026b6, 001026bb
compile_pattern, basic@001028d1, 001028d1, 001028e2
compile_pattern, basic@001028e9, 001028e9, 001028fa
compile_pattern, basic@001028e4, 001028e4, 001028e4
read_pattern_file, basic@001028fb, 001028fb, 00102930
read_pattern_file, basic@00102932, 00102932, 00102936
read_pattern_file, basic@00102957, 00102957, 0010296d
read_pattern_file, basic@0010296f, 0010296f, 001029a0
read_pattern_file, basic@00102938, 00102938, 00102949
read_pattern_file, basic@0010294d, 0010294d, 00102955
read_pattern_file, basic@001029cf, 001029cf, 001029e3
read_pattern_file, basic@00102a6e, 00102a6e, 00102a7e
read_pattern_file, basic@00102a80, 00102a80, 00102a88
read_pattern_file, basic@001029e9, 001029e9, 001029f0
read_pattern_file, basic@001029f2, 001029f2, 001029f2
read_pattern_file, basic@001029f2, 001029f2, 001029f2
read_pattern_file, basic@001029f4, 001029f4, 00102a02
read_pattern_file, basic@001029bc, 001029bc, 001029bf
read_pattern_file, basic@001029a5, 001029a5, 001029b7
read_pattern_file, basic@001029b9, 001029b9, 001029b9
