_init, 001022e8
FUN_00102310, 00102310
__ctype_toupper_loc, 00102320
getenv, 00102330
free, 00102340
__errno_location, 00102350
strncmp, 00102360
puts, 00102370
pcre_maketables, 00102380
isatty, 00102390
fread, 001023a0
pcre_version, 001023b0
fclose, 001023c0
opendir, 001023d0
strlen, 001023e0
__stack_chk_fail, 001023f0
strchr, 00102400
strrchr, 00102410
fputs, 00102420
pcre_exec, 00102430
fgetc, 00102440
closedir, 00102450
fputc, 00102460
memchr, 00102470
__libc_start_main, 00102480
fgets, 00102490
strcmp, 001024a0
pcre_config, 001024b0
__gmon_start__, 001024c0
fileno, 001024d0
__xstat, 001024e0
readdir, 001024f0
pcre_compile, 00102500
pcre_jit_stack_alloc, 00102510
malloc, 00102520
fflush, 00102530
pcre_free_study, 00102540
setlocale, 00102550
__printf_chk, 00102560
memmove, 00102570
pcre_study, 00102580
fopen, 00102590
exit, 001025a0
fwrite, 001025b0
__fprintf_chk, 001025c0
strerror, 001025d0
pcre_assign_jit_stack, 001025e0
__cxa_finalize, 001025f0
__ctype_b_loc, 00102600
__sprintf_chk, 00102610
pcre_jit_stack_free, 00102620
free_pattern_chain, 00102630
compile_pattern, 0010266f
read_pattern_file, 001028fb
main, 00102ac0
_start, 00103d2b
deregister_tm_clones, 00103d60
register_tm_clones, 00103da0
__do_global_dtors_aux, 00103df0
frame_dummy, 00103e30
end_of_line, 00103e60
test_incexc, 00104110
read_one_line, 001041c0
pcregrep_exit, 00104210
match_patterns, 00104280
do_after_lines, 00104430
add_number, 00104560
add_pattern, 001045d0
pcregrep, 00104690
grep_or_recurse, 001058b0
grep_or_recurse, 00105ba0
usage, 00105bf0
decode_number, 00105c90
handle_option, 00105df0
__libc_csu_init, 00106260
__libc_csu_fini, 001062d0
_fini, 001062d4
__ctype_toupper_loc, 0030a000
getenv, 0030a008
free, 0030a010
__errno_location, 0030a018
strncmp, 0030a020
_ITM_deregisterTMCloneTable, 0030a028
puts, 0030a038
pcre_maketables, 0030a040
isatty, 0030a048
fread, 0030a050
pcre_version, 0030a060
fclose, 0030a068
opendir, 0030a070
strlen, 0030a078
__stack_chk_fail, 0030a080
strchr, 0030a088
strrchr, 0030a090
fputs, 0030a098
pcre_exec, 0030a0a0
fgetc, 0030a0a8
closedir, 0030a0b0
fputc, 0030a0b8
memchr, 0030a0c0
__libc_start_main, 0030a0c8
fgets, 0030a0d0
strcmp, 0030a0d8
pcre_config, 0030a0e0
__gmon_start__, 0030a0e8
fileno, 0030a0f0
__xstat, 0030a0f8
readdir, 0030a100
pcre_compile, 0030a108
pcre_jit_stack_alloc, 0030a110
malloc, 0030a118
fflush, 0030a120
pcre_free_study, 0030a128
setlocale, 0030a130
__printf_chk, 0030a138
memmove, 0030a140
pcre_study, 0030a148
fopen, 0030a150
_Jv_RegisterClasses, 0030a158
exit, 0030a160
fwrite, 0030a168
__fprintf_chk, 0030a170
_ITM_registerTMCloneTable, 0030a178
strerror, 0030a180
pcre_assign_jit_stack, 0030a190
__cxa_finalize, 0030a198
__ctype_b_loc, 0030a1a0
__sprintf_chk, 0030a1b0
pcre_jit_stack_free, 0030a1b8
