_init, 00011360
strcmp, 00011380
__cxa_finalize, 0001138c
fopen, 00011398
fflush, 000113a4
pcre_maketables, 000113b0
memmove, 000113bc
free, 000113c8
fgets, 000113d4
pcre_version, 000113e0
__stack_chk_fail, 000113ec
pcre_exec, 000113f8
__xstat, 00011404
fwrite, 00011410
fread, 0001141c
opendir, 00011428
getenv, 00011434
puts, 00011440
malloc, 0001144c
__libc_start_main, 00011458
strerror, 00011464
__ctype_toupper_loc, 00011470
pcre_config, 0001147c
__ctype_b_loc, 00011494
exit, 000114a0
strlen, 000114ac
strchr, 000114b8
pcre_compile, 000114c4
__errno_location, 000114d0
__sprintf_chk, 000114dc
fgetc, 000114e8
__printf_chk, 000114f4
fileno, 00011500
__fprintf_chk, 0001150c
memchr, 00011518
fclose, 00011524
pcre_free_study, 00011530
setlocale, 0001153c
readdir, 00011548
strrchr, 00011554
pcre_study, 00011560
fputc, 0001156c
isatty, 00011578
fputs, 00011584
strncmp, 00011590
abort, 0001159c
closedir, 000115a8
free_pattern_chain, 000115b4
compile_pattern, 00011618
read_pattern_file, 000119a8
main, 00011bfc
_start, 000132e8
call_weak_fn, 00013340
deregister_tm_clones, 00013364
register_tm_clones, 000133c4
__do_global_dtors_aux, 0001342c
frame_dummy, 00013494
end_of_line, 000134e4
test_incexc, 000137dc
read_one_line, 000138a0
pcregrep_exit, 000138e4
match_patterns, 00013974
do_after_lines, 00013b78
add_number, 00013ce0
add_pattern, 00013d58
pcregrep, 00013e1c
grep_or_recurse, 000152c4
grep_or_recurse, 000155ec
usage, 00015668
decode_number, 0001571c
handle_option, 00015888
__libc_csu_init, 00015fe8
__libc_csu_fini, 00016048
_fini, 0001604c
strcmp, 00029000
__cxa_finalize, 00029004
_ITM_deregisterTMCloneTable, 00029008
fopen, 0002900c
fflush, 00029010
pcre_maketables, 00029014
memmove, 00029018
free, 0002901c
fgets, 00029020
pcre_version, 00029028
__stack_chk_fail, 0002902c
pcre_exec, 00029030
__xstat, 00029034
fwrite, 0002903c
fread, 00029040
opendir, 00029044
getenv, 00029048
puts, 0002904c
malloc, 00029050
__libc_start_main, 00029054
strerror, 00029058
__ctype_toupper_loc, 0002905c
pcre_config, 00029060
__gmon_start__, 00029064
__ctype_b_loc, 00029068
exit, 0002906c
strlen, 00029070
strchr, 00029074
pcre_compile, 0002907c
__errno_location, 00029080
__sprintf_chk, 00029084
fgetc, 00029088
__printf_chk, 0002908c
fileno, 00029090
__fprintf_chk, 00029094
memchr, 00029098
fclose, 000290a0
pcre_free_study, 000290a4
setlocale, 000290a8
readdir, 000290ac
strrchr, 000290b0
pcre_study, 000290b4
fputc, 000290b8
_Jv_RegisterClasses, 000290bc
_ITM_registerTMCloneTable, 000290c0
isatty, 000290c8
fputs, 000290cc
strncmp, 000290d0
abort, 000290d4
closedir, 000290d8
