outgoing, _init, __gmon_start__
outgoing, _init, __x86.get_pc_thunk.bx
outgoing, _init, __gmon_start__
outgoing, free_pattern_chain, __x86.get_pc_thunk.bx
outgoing, free_pattern_chain, pcre_free_study
outgoing, free_pattern_chain, free
outgoing, compile_pattern, __stack_chk_fail_local
outgoing, compile_pattern, __sprintf_chk
outgoing, compile_pattern, __fprintf_chk
outgoing, compile_pattern, __x86.get_pc_thunk.bx
outgoing, compile_pattern, add_pattern
outgoing, compile_pattern, pcre_compile
outgoing, compile_pattern, end_of_line
outgoing, read_pattern_file, __stack_chk_fail_local
outgoing, read_pattern_file, __fprintf_chk
outgoing, read_pattern_file, strerror
outgoing, read_pattern_file, __x86.get_pc_thunk.bx
outgoing, read_pattern_file, __ctype_b_loc
outgoing, read_pattern_file, add_pattern
outgoing, read_pattern_file, fclose
outgoing, read_pattern_file, fopen
outgoing, read_pattern_file, fgets
outgoing, read_pattern_file, compile_pattern
outgoing, read_pattern_file, __errno_location
outgoing, main, __stack_chk_fail_local
outgoing, main, malloc
outgoing, main, __fprintf_chk
outgoing, main, strerror
outgoing, main, fwrite
outgoing, main, decode_number
outgoing, main, fileno
outgoing, main, free_pattern_chain
outgoing, main, usage
outgoing, main, free
outgoing, main, __errno_location
outgoing, main, __sprintf_chk
outgoing, main, handle_option
outgoing, main, strcmp
outgoing, main, strchr
outgoing, main, grep_or_recurse
outgoing, main, __ctype_b_loc
outgoing, main, pcre_config
outgoing, main, fopen
outgoing, main, getenv
outgoing, main, fgets
outgoing, main, pcregrep_exit
outgoing, main, compile_pattern
outgoing, main, pcre_study
outgoing, main, pcregrep
outgoing, main, add_number
outgoing, main, fclose
outgoing, main, setlocale
outgoing, main, strlen
outgoing, main, __x86.get_pc_thunk.bx
outgoing, main, read_pattern_file
outgoing, main, add_pattern
outgoing, main, isatty
outgoing, main, strncmp
outgoing, main, pcre_maketables
outgoing, _start, main
outgoing, _start, __libc_csu_init
outgoing, _start, __libc_start_main
outgoing, _start, __i686.get_pc_thunk.bx
outgoing, _start, __libc_csu_fini
outgoing, deregister_tm_clones, _ITM_deregisterTMCloneTable
outgoing, deregister_tm_clones, __x86.get_pc_thunk.bx
outgoing, register_tm_clones, __x86.get_pc_thunk.bx
outgoing, register_tm_clones, _ITM_registerTMCloneTable
outgoing, __do_global_dtors_aux, __x86.get_pc_thunk.bx
outgoing, __do_global_dtors_aux, __cxa_finalize
outgoing, __do_global_dtors_aux, deregister_tm_clones
outgoing, frame_dummy, register_tm_clones
outgoing, frame_dummy, __x86.get_pc_thunk.bx
outgoing, frame_dummy, _Jv_RegisterClasses
outgoing, end_of_line, __x86.get_pc_thunk.bx
outgoing, test_incexc, strlen
outgoing, test_incexc, __x86.get_pc_thunk.bx
outgoing, test_incexc, pcre_exec
outgoing, read_one_line, __x86.get_pc_thunk.bx
outgoing, read_one_line, fgetc
outgoing, pcregrep_exit, __fprintf_chk
outgoing, pcregrep_exit, __x86.get_pc_thunk.bx
outgoing, pcregrep_exit, exit
outgoing, pcregrep_exit, fwrite
outgoing, match_patterns, __fprintf_chk
outgoing, match_patterns, __x86.get_pc_thunk.bx
outgoing, match_patterns, pcregrep_exit
outgoing, match_patterns, fwrite
outgoing, match_patterns, fputs
outgoing, match_patterns, pcre_exec
outgoing, do_after_lines, __fprintf_chk
outgoing, do_after_lines, __x86.get_pc_thunk.bx
outgoing, do_after_lines, fwrite
outgoing, do_after_lines, __stack_chk_fail_local
outgoing, do_after_lines, end_of_line
outgoing, add_number, __x86.get_pc_thunk.bx
outgoing, add_number, pcregrep_exit
outgoing, add_number, fwrite
outgoing, add_number, malloc
outgoing, add_pattern, __fprintf_chk
outgoing, add_pattern, strlen
outgoing, add_pattern, __x86.get_pc_thunk.bx
outgoing, add_pattern, pcregrep_exit
outgoing, add_pattern, fwrite
outgoing, add_pattern, malloc
outgoing, pcregrep, memchr
outgoing, pcregrep, memmove
outgoing, pcregrep, fileno
outgoing, pcregrep, fread
outgoing, pcregrep, fflush
outgoing, pcregrep, fputs
outgoing, pcregrep, __stack_chk_fail_local
outgoing, pcregrep, end_of_line
outgoing, pcregrep, __fprintf_chk
outgoing, pcregrep, match_patterns
outgoing, pcregrep, do_after_lines
outgoing, pcregrep, fputc
outgoing, pcregrep, __x86.get_pc_thunk.bx
outgoing, pcregrep, isatty
outgoing, pcregrep, fwrite
outgoing, pcregrep, read_one_line
outgoing, grep_or_recurse, closedir
outgoing, grep_or_recurse, pcregrep
outgoing, grep_or_recurse, __xstat
outgoing, grep_or_recurse, __stack_chk_fail_local
outgoing, grep_or_recurse, fopen
outgoing, grep_or_recurse, __errno_location
outgoing, grep_or_recurse, __fprintf_chk
outgoing, grep_or_recurse, readdir
outgoing, grep_or_recurse, fclose
outgoing, grep_or_recurse, __x86.get_pc_thunk.bx
outgoing, grep_or_recurse, strrchr
outgoing, grep_or_recurse, opendir
outgoing, grep_or_recurse, __sprintf_chk
outgoing, grep_or_recurse, strerror
outgoing, grep_or_recurse, test_incexc
outgoing, grep_or_recurse, grep_or_recurse
outgoing, grep_or_recurse, grep_or_recurse
outgoing, grep_or_recurse, __x86.get_pc_thunk.bx
outgoing, grep_or_recurse, pcregrep
outgoing, usage, fputc
outgoing, usage, __x86.get_pc_thunk.bx
outgoing, usage, fwrite
outgoing, decode_number, __fprintf_chk
outgoing, decode_number, strlen
outgoing, decode_number, usage
outgoing, decode_number, __x86.get_pc_thunk.bx
outgoing, decode_number, __ctype_toupper_loc
outgoing, decode_number, strchr
outgoing, decode_number, pcregrep_exit
outgoing, decode_number, __ctype_b_loc
outgoing, handle_option, __fprintf_chk
outgoing, handle_option, usage
outgoing, handle_option, __x86.get_pc_thunk.bx
outgoing, handle_option, pcregrep_exit
outgoing, __libc_csu_init, __x86.get_pc_thunk.bx
outgoing, __libc_csu_init, frame_dummy
outgoing, __libc_csu_init, _init
outgoing, __libc_csu_init, __do_global_dtors_aux
outgoing, __stack_chk_fail_local, __x86.get_pc_thunk.bx
outgoing, __stack_chk_fail_local, __stack_chk_fail
outgoing, _fini, __x86.get_pc_thunk.bx
