_init, 000110c8
FUN_000110f0, 000110f0
__ctype_toupper_loc, 00011100
strcmp, 00011110
fflush, 00011120
pcre_maketables, 00011130
memmove, 00011140
free, 00011150
fgets, 00011160
fclose, 00011170
pcre_version, 00011180
__stack_chk_fail, 00011190
pcre_exec, 000111a0
__cxa_finalize, 000111b0
__xstat, 000111c0
fwrite, 000111d0
fread, 000111e0
getenv, 000111f0
malloc, 00011200
FUN_00011210, 00011210
strerror, 00011220
pcre_config, 00011230
__gmon_start__, 00011240
exit, 00011250
strchr, 00011260
strlen, 00011270
__libc_start_main, 00011280
pcre_compile, 00011290
fopen, 000112a0
__errno_location, 000112b0
memchr, 000112c0
fileno, 000112d0
fgetc, 000112e0
pcre_free_study, 000112f0
FUN_00011300, 00011300
readdir, 00011310
setlocale, 00011320
strrchr, 00011330
pcre_study, 00011340
fputc, 00011350
__fprintf_chk, 00011360
strncmp, 00011370
isatty, 00011380
fputs, 00011390
closedir, 000113a0
opendir, 000113b0
__ctype_b_loc, 000113c0
__sprintf_chk, 000113d0
free_pattern_chain, 000113e0
compile_pattern, 0001143c
read_pattern_file, 00011664
main, 00011840
_start, 00012c0f
__i686.get_pc_thunk.bx, 00012c41
__x86.get_pc_thunk.bx, 00012c50
deregister_tm_clones, 00012c60
register_tm_clones, 00012ca0
__do_global_dtors_aux, 00012cf0
frame_dummy, 00012d40
end_of_line, 00012d90
test_incexc, 000130b0
read_one_line, 00013150
pcregrep_exit, 000131a0
match_patterns, 00013200
do_after_lines, 000133a0
add_number, 000134d0
add_pattern, 00013530
pcregrep, 000135f0
grep_or_recurse, 00014aa0
grep_or_recurse, 00014db0
usage, 00014e20
decode_number, 00014eb0
handle_option, 00015000
__libc_csu_init, 00015470
__libc_csu_fini, 000154e0
__stack_chk_fail_local, 000154f0
_fini, 00015504
__ctype_toupper_loc, 0001a000
strcmp, 0001a004
_ITM_deregisterTMCloneTable, 0001a008
fflush, 0001a00c
pcre_maketables, 0001a014
memmove, 0001a018
free, 0001a01c
fgets, 0001a020
fclose, 0001a024
pcre_version, 0001a028
__stack_chk_fail, 0001a02c
pcre_exec, 0001a030
__cxa_finalize, 0001a034
__xstat, 0001a038
fwrite, 0001a03c
fread, 0001a040
getenv, 0001a044
malloc, 0001a048
puts, 0001a04c
strerror, 0001a050
pcre_config, 0001a054
__gmon_start__, 0001a058
exit, 0001a05c
strchr, 0001a060
strlen, 0001a064
__libc_start_main, 0001a068
pcre_compile, 0001a06c
fopen, 0001a074
__errno_location, 0001a078
memchr, 0001a07c
fileno, 0001a080
fgetc, 0001a084
pcre_free_study, 0001a08c
__printf_chk, 0001a090
readdir, 0001a094
setlocale, 0001a098
strrchr, 0001a09c
pcre_study, 0001a0a0
fputc, 0001a0a4
_Jv_RegisterClasses, 0001a0a8
__fprintf_chk, 0001a0ac
_ITM_registerTMCloneTable, 0001a0b0
strncmp, 0001a0b4
isatty, 0001a0b8
fputs, 0001a0c0
closedir, 0001a0c4
opendir, 0001a0c8
__ctype_b_loc, 0001a0cc
__sprintf_chk, 0001a0d0
