_init, basic@004016b8, 004016b8, 004016d1
FUN_004016e0, basic@004016e0, 004016e0, 004016e6
open_file_for_reading, basic@00401b30, 00401b30, 00401b65
main, basic@00401b70, 00401b70, 00401f66
main, basic@00401f70, 00401f70, 00401f73
main, basic@004024c0, 004024c0, 004024e1
main, basic@004025a0, 004025a0, 004025a3
main, basic@00401f79, 00401f79, 00401f81
main, basic@00402460, 00402460, 0040246a
main, basic@00402588, 00402588, 0040258c
main, basic@00402470, 00402470, 0040248d
main, basic@00402493, 00402493, 0040249e
main, basic@004024a1, 004024a1, 004024b1
main, basic@004043bf, 004043bf, 004043c2
main, basic@00401f87, 00401f87, 00401f8b
main, basic@00402dc8, 00402dc8, 00402dca
main, basic@00402dcc, 00402dcc, 00402dd1
main, basic@00404008, 00404008, 00404075
main, basic@00404077, 00404077, 004040cc
main, basic@004040d2, 004040d2, 004040ff
main, basic@00404101, 00404101, 00404109
main, basic@00404109, 00404109, 00404109
main, basic@00404112, 00404112, 0040426e
main, basic@00402dd7, 00402dd7, 00402ddf
main, basic@00403fec, 00403fec, 00404003
main, basic@00402de5, 00402de5, 00402dea
main, basic@00402def, 00402def, 00402dff
main, basic@00402920, 00402920, 00402e22
main, basic@00402920, 00402920, 00402931
main, basic@004024e7, 004024e7, 004024ea
main, basic@004026d0, 004026d0, 004026da
main, basic@00402938, 00402938, 0040293c
main, basic@004026e0, 004026e0, 004026fd
main, basic@00401f98, 00401f98, 00401f9a
main, basic@00401fa0, 00401fa0, 00401fa5
main, basic@00401fa7, 00401fa7, 00401fac
main, basic@00401fae, 00401fae, 00401fbf
main, basic@00401fc5, 00401fc5, 00401fce
main, basic@00401fd7, 00401fd7, 00401fdc
main, basic@00401fde, 00401fde, 00401fef
main, basic@00401ff5, 00401ff5, 00401ffe
main, basic@00402007, 00402007, 0040200c
main, basic@0040200e, 0040200e, 00402013
main, basic@00402015, 00402015, 00402026
main, basic@0040202c, 0040202c, 00402035
main, basic@0040203e, 0040203e, 00402043
main, basic@00402045, 00402045, 00402056
main, basic@00402920, 00402920, 004043ba
main, basic@0040205c, 0040205c, 00402065
main, basic@0040206e, 0040206e, 0040209a
main, basic@0040209a, 0040209a, 0040209a
main, basic@0040209d, 0040209d, 004020c2
main, basic@004020c2, 004020c2, 004020c2
main, basic@004020c5, 004020c5, 004020f2
main, basic@004020f8, 004020f8, 004020fb
main, basic@004036c2, 004036c2, 004036c4
main, basic@00402101, 00402101, 00402103
main, basic@00402106, 00402106, 00402188
main, basic@0040218f, 0040218f, 00402194
main, basic@00402c33, 00402c33, 00402c35
main, basic@004034be, 004034be, 00403550
main, basic@00402c3b, 00402c3b, 00402ccd
main, basic@00402cd1, 00402cd1, 00402cf3
