_init, 004016b8
FUN_004016e0, 004016e0
pl_flabelwidth_r, 004016f0
log10, 00401700
_pl_get_hershey_font_info, 00401710
pl_endpath_r, 00401720
pl_erase_r, 00401730
ceil, 00401740
__isoc99_fscanf, 00401750
pl_filltype_r, 00401760
__gmon_start__, 00401770
__isoc99_sscanf, 00401780
pl_fspace_r, 00401790
exit, 004017a0
pl_closepl_r, 004017b0
pl_ffontsize_r, 004017c0
pl_fmove_r, 004017d0
pl_openpl_r, 004017e0
strncmp, 004017f0
malloc, 00401800
fopen, 00401810
__libc_start_main, 00401820
pl_newpl_r, 00401830
_pl_get_ps_font_info, 00401840
pl_restorestate_r, 00401860
pl_fmarker_r, 00401870
ungetc, 00401880
fputc, 00401890
free, 004018a0
pl_flushpl_r, 004018b0
_IO_getc, 004018c0
strlen, 004018d0
pl_savestate_r, 004018e0
pl_fcont_r, 004018f0
pl_fbox_r, 00401900
__ctype_b_loc, 00401910
sprintf, 00401920
pl_textangle_r, 00401930
pl_deletepl_r, 00401940
pow, 00401950
strerror, 00401960
fputs, 00401970
_pl_get_stick_font_info, 00401980
strchr, 00401990
pl_havecap_r, 004019a0
fread, 004019b0
getenv, 004019c0
__errno_location, 004019d0
pl_deleteplparams, 004019e0
pl_fline_r, 004019f0
strcmp, 00401a00
pl_linemod_r, 00401a10
pl_fontname_r, 00401a20
pl_setplparam, 00401a30
strcpy, 00401a40
pl_alabel_r, 00401a50
calloc, 00401a60
pl_pencolorname_r, 00401a70
feof, 00401a80
fclose, 00401a90
pl_colorname_r, 00401aa0
fwrite, 00401ab0
realloc, 00401ac0
pl_newplparams, 00401ad0
floor, 00401ae0
perror, 00401af0
pl_flinewidth_r, 00401b00
fprintf, 00401b10
_pl_get_pcl_font_info, 00401b20
open_file_for_reading, 00401b30
main, 00401b70
_start, 004043e8
deregister_tm_clones, 00404420
register_tm_clones, 00404460
__do_global_dtors_aux, 004044a0
frame_dummy, 004044c0
clip_line, 004044f0
array_bounds, 004049a0
skip_some_whitespace, 00404f70
read_point, 00404fe0
new_reader, 004059a0
delete_reader, 00405a80
alter_reader_parameters, 00405a90
read_file, 00405b20
read_and_plot_file, 00405c60
scale1, 00405d30
prepare_axis, 00405f00
plot_errorbar, 004067f0
print_tick_label, 00407180
plot_abscissa_log_subsubtick, 00407550
plot_ordinate_log_subsubtick, 00408090
compute_outcode, 00408c00
new_multigrapher, 00408c80
delete_multigrapher, 00408dd0
begin_graph, 00408e10
end_graph, 00408e80
set_graph_parameters, 00408e90
draw_frame_of_graph, 00409730
plot_point, 0040d5e0
plot_point_array, 0040e990
end_polyline_and_flush, 0040e9e0
display_fonts, 0040ea00
list_fonts, 0040f2a0
elementp, 0040f520
FUN_0040f52c, 0040f52c
display_usage, 0040f550
display_version, 0040f830
exchange, 0040f8b0
_getopt_internal, 0040f9a0
gnu_getopt, 00410260
getopt_long, 00410270
getopt_long_only, 00410280
xmalloc, 00410290
xrealloc, 004102c0
xcalloc, 004102f0
xstrdup, 00410320
__libc_csu_init, 00410340
__libc_csu_fini, 004103b0
_fini, 004103b4
pl_flabelwidth_r, 00614000
log10, 00614008
_pl_get_hershey_font_info, 00614010
pl_endpath_r, 00614018
pl_erase_r, 00614020
ceil, 00614028
__isoc99_fscanf, 00614030
pl_filltype_r, 00614038
__gmon_start__, 00614040
__isoc99_sscanf, 00614050
pl_fspace_r, 00614058
exit, 00614060
pl_closepl_r, 00614068
pl_ffontsize_r, 00614070
pl_fmove_r, 00614078
pl_openpl_r, 00614080
strncmp, 00614088
malloc, 00614090
fopen, 00614098
__libc_start_main, 006140a0
pl_newpl_r, 006140a8
_pl_get_ps_font_info, 006140b0
pl_fconcat_r, 006140b8
pl_restorestate_r, 006140c0
pl_fmarker_r, 006140d0
ungetc, 006140d8
fputc, 006140e0
free, 006140e8
pl_flushpl_r, 006140f0
_IO_getc, 006140f8
strlen, 00614100
pl_savestate_r, 00614108
pl_fcont_r, 00614118
pl_fbox_r, 00614120
__ctype_b_loc, 00614128
sprintf, 00614130
pl_textangle_r, 00614138
pl_deletepl_r, 00614140
pow, 00614148
strerror, 00614150
fputs, 00614158
_pl_get_stick_font_info, 00614160
strchr, 00614168
pl_havecap_r, 00614170
fread, 00614178
getenv, 00614180
__errno_location, 00614188
pl_deleteplparams, 00614190
pl_fline_r, 00614198
strcmp, 006141a0
pl_linemod_r, 006141a8
pl_fontname_r, 006141b0
pl_setplparam, 006141b8
strcpy, 006141c0
pl_alabel_r, 006141c8
calloc, 006141d0
pl_pencolorname_r, 006141d8
feof, 006141e0
fclose, 006141e8
pl_colorname_r, 006141f0
fwrite, 006141f8
realloc, 00614200
pl_newplparams, 00614208
floor, 00614210
perror, 00614218
pl_flinewidth_r, 00614220
fprintf, 00614228
_pl_get_pcl_font_info, 00614230
