_init, 0001113c
calloc, 0001115c
strcmp, 00011168
pl_endpath_r, 00011174
__isoc99_fscanf, 00011180
fopen, 0001118c
_pl_get_ps_font_info, 00011198
free, 000111a4
pl_fspace_r, 000111b0
pl_linemod_r, 000111bc
pl_flabelwidth_r, 000111c8
pow, 000111d4
_IO_getc, 000111e0
pl_fcont_r, 000111ec
pl_fontname_r, 000111f8
realloc, 00011204
pl_ffontsize_r, 0001121c
pl_newpl_r, 00011228
perror, 00011234
pl_fmove_r, 00011240
fwrite, 0001124c
strcpy, 00011258
fread, 00011264
floor, 00011270
pl_closepl_r, 0001127c
getenv, 00011288
pl_pencolorname_r, 00011294
malloc, 000112a0
log10, 000112ac
pl_deleteplparams, 000112b8
__libc_start_main, 000112c4
strerror, 000112d0
pl_filltype_r, 000112dc
pl_erase_r, 000112e8
pl_newplparams, 000112f4
__ctype_b_loc, 0001130c
exit, 00011318
feof, 00011324
strlen, 00011330
strchr, 0001133c
_pl_get_stick_font_info, 00011348
fprintf, 00011354
ungetc, 00011360
__errno_location, 0001136c
__isoc99_sscanf, 00011378
pl_savestate_r, 00011384
pl_fline_r, 00011390
pl_colorname_r, 0001139c
pl_havecap_r, 000113a8
ceil, 000113b4
fclose, 000113c0
_pl_get_pcl_font_info, 000113cc
pl_fbox_r, 000113d8
fputc, 000113e4
_pl_get_hershey_font_info, 000113f0
sprintf, 000113fc
pl_alabel_r, 00011408
pl_openpl_r, 00011414
pl_textangle_r, 00011420
pl_flinewidth_r, 0001142c
pl_restorestate_r, 00011438
pl_fmarker_r, 00011444
pl_setplparam, 00011450
pl_flushpl_r, 0001145c
fputs, 00011468
strncmp, 00011474
abort, 00011480
pl_deletepl_r, 0001148c
open_file_for_reading, 00011498
main, 000114f0
_start, 000137e0
call_weak_fn, 0001381c
deregister_tm_clones, 00013840
register_tm_clones, 00013870
__do_global_dtors_aux, 000138ac
frame_dummy, 000138d4
clip_line, 00013908
array_bounds, 00013c3c
skip_some_whitespace, 00014078
reset_reader, 000140f4
read_point, 00014130
new_reader, 00014ac4
delete_reader, 00014b5c
alter_reader_parameters, 00014b60
read_file, 00014be8
read_and_plot_file, 00014cac
scale1, 00014d28
prepare_axis, 00014f08
plot_errorbar, 0001546c
print_tick_label, 00015bd8
plot_abscissa_log_subsubtick, 00015ee8
plot_ordinate_log_subsubtick, 000166d8
compute_outcode, 00016e9c
new_multigrapher, 00016f20
delete_multigrapher, 00017088
begin_graph, 000170bc
end_graph, 00017118
set_graph_parameters, 00017120
draw_frame_of_graph, 000176e8
plot_point, 0001a31c
plot_point_array, 0001b020
end_polyline_and_flush, 0001b05c
display_fonts, 0001b080
list_fonts, 0001b87c
elementp, 0001bab8
FUN_0001bac4, 0001bac4
display_usage, 0001bae0
display_version, 0001bd24
exchange, 0001bdb4
_getopt_internal, 0001be84
gnu_getopt, 0001c6f4
getopt_long, 0001c718
getopt_long_only, 0001c738
xmalloc, 0001c758
xrealloc, 0001c77c
xcalloc, 0001c7a0
xstrdup, 0001c7c4
__libc_csu_init, 0001c7e4
__libc_csu_fini, 0001c844
_fini, 0001c848
calloc, 00030000
strcmp, 00030004
pl_endpath_r, 0003000c
__isoc99_fscanf, 00030010
fopen, 00030014
_pl_get_ps_font_info, 00030018
free, 0003001c
pl_fspace_r, 00030020
pl_linemod_r, 00030024
pl_flabelwidth_r, 00030028
pow, 0003002c
_IO_getc, 00030030
pl_fcont_r, 00030034
pl_fontname_r, 00030038
realloc, 0003003c
pl_fconcat_r, 00030040
pl_ffontsize_r, 00030044
pl_newpl_r, 00030048
perror, 0003004c
pl_fmove_r, 00030050
fwrite, 00030054
strcpy, 00030058
fread, 0003005c
floor, 00030060
pl_closepl_r, 00030064
getenv, 00030068
pl_pencolorname_r, 0003006c
malloc, 00030070
log10, 00030074
pl_deleteplparams, 00030078
__libc_start_main, 0003007c
strerror, 00030080
pl_filltype_r, 00030084
pl_erase_r, 00030088
pl_newplparams, 0003008c
__gmon_start__, 00030090
__ctype_b_loc, 00030094
exit, 00030098
feof, 0003009c
strlen, 000300a0
strchr, 000300a4
_pl_get_stick_font_info, 000300a8
fprintf, 000300ac
ungetc, 000300b0
__errno_location, 000300b4
__isoc99_sscanf, 000300b8
pl_savestate_r, 000300bc
pl_fline_r, 000300c0
pl_colorname_r, 000300c4
pl_havecap_r, 000300c8
ceil, 000300cc
fclose, 000300d0
_pl_get_pcl_font_info, 000300d4
pl_fbox_r, 000300d8
fputc, 000300dc
_pl_get_hershey_font_info, 000300e4
sprintf, 000300e8
pl_alabel_r, 000300ec
pl_openpl_r, 000300f0
pl_textangle_r, 000300f4
pl_flinewidth_r, 000300f8
pl_restorestate_r, 00030100
pl_fmarker_r, 00030104
pl_setplparam, 00030108
pl_flushpl_r, 0003010c
fputs, 00030110
strncmp, 00030114
abort, 00030118
pl_deletepl_r, 0003011c
