_init, basic@08048ee8, 08048ee8, 08048f0a
FUN_08048f10, basic@08048f10, 08048f10, 08048f16
open_file_for_reading, basic@08049360, 08049360, 08049394
main, basic@080493a0, 080493a0, 08049709
main, basic@08049710, 08049710, 08049718
main, basic@08049c60, 08049c60, 08049c8c
main, basic@08049d48, 08049d48, 08049d52
main, basic@0804971e, 0804971e, 0804972a
main, basic@08049730, 08049730, 0804973c
main, basic@0804a560, 0804a560, 0804a567
main, basic@0804a569, 0804a569, 0804a570
main, basic@0804b792, 0804b792, 0804b7e1
main, basic@0804b7e3, 0804b7e3, 0804b82c
main, basic@0804b832, 0804b832, 0804b85b
main, basic@0804b85d, 0804b85d, 0804b864
main, basic@0804b866, 0804b866, 0804b866
main, basic@0804b86c, 0804b86c, 0804b9c0
main, basic@0804a576, 0804a576, 0804a57d
main, basic@0804b9c5, 0804b9c5, 0804b9e1
main, basic@0804a583, 0804a583, 0804a591
main, basic@0804a594, 0804a594, 0804a5ab
main, basic@0804a0a0, 0804a0a0, 0804a5d0
main, basic@0804a0a0, 0804a0a0, 0804a0ab
main, basic@08049c10, 08049c10, 08049c1c
main, basic@08049d30, 08049d30, 08049d34
main, basic@08049c22, 08049c22, 08049c37
main, basic@08049c3d, 08049c3d, 08049c49
main, basic@08049c4c, 08049c4c, 08049c5b
main, basic@08049c92, 08049c92, 08049c95
main, basic@08049e88, 08049e88, 08049e91
main, basic@0804a0b0, 0804a0b0, 0804a0b4
main, basic@08049e97, 08049e97, 08049eab
main, basic@08049748, 08049748, 08049750
main, basic@08049756, 08049756, 0804975d
main, basic@0804975f, 0804975f, 08049766
main, basic@08049768, 08049768, 08049777
main, basic@0804977d, 0804977d, 0804978e
main, basic@08049791, 08049791, 08049798
main, basic@0804979a, 0804979a, 080497a9
main, basic@080497af, 080497af, 080497c0
main, basic@080497c3, 080497c3, 080497ca
main, basic@080497cc, 080497cc, 080497d3
main, basic@080497d5, 080497d5, 080497e4
main, basic@080497ea, 080497ea, 080497fb
main, basic@080497fe, 080497fe, 08049805
main, basic@08049807, 08049807, 08049816
main, basic@0804a0a0, 0804a0a0, 0804bb28
main, basic@0804981c, 0804981c, 0804982d
main, basic@08049830, 08049830, 0804986c
main, basic@0804986e, 0804986e, 08049877
main, basic@0804987d, 0804987d, 08049889
main, basic@0804ac91, 0804ac91, 0804ac98
main, basic@0804988f, 0804988f, 08049896
main, basic@0804989c, 0804989c, 080498a3
main, basic@0804ae97, 0804ae97, 0804ae99
main, basic@080498a9, 080498a9, 080498af
main, basic@080498b5, 080498b5, 0804992d
main, basic@08049933, 08049933, 0804993a
main, basic@0804a3be, 0804a3be, 0804a3c5
main, basic@0804ac9d, 0804ac9d, 0804ad34
main, basic@0804a3cb, 0804a3cb, 0804a464
main, basic@0804a467, 0804a467, 0804a48a
main, basic@08049940, 08049940, 08049947
main, basic@0804b3b9, 0804b3b9, 0804b455
main, basic@0804994d, 0804994d, 08049954
main, basic@08049956, 08049956, 0804999f
main, basic@080499a5, 080499a5, 080499ce
main, basic@080499d0, 080499d0, 080499d7
main, basic@080499d9, 080499d9, 080499d9
main, basic@080499df, 080499df, 08049b7c
main, basic@08049b82, 08049b82, 08049b95
main, basic@08049b98, 08049b98, 08049b9e
main, basic@08049ba0, 08049ba0, 08049bb4
main, basic@0804b592, 0804b592, 0804b5ac
main, basic@08049bba, 08049bba, 08049c0a
main, basic@08049eb1, 08049eb1, 08049eb9
main, basic@08049c9b, 08049c9b, 08049c9e
main, basic@0804a139, 0804a139, 0804a156
main, basic@0804a15c, 0804a15c, 0804a17b
main, basic@08049ca4, 08049ca4, 08049ca4
main, basic@08049d60, 08049d60, 08049d65
main, basic@08049d6b, 08049d6b, 08049d6b
main, basic@08049f98, 08049f98, 08049f9d
main, basic@0804a0bf, 0804a0bf, 0804a0d6
main, basic@08049fa3, 08049fa3, 08049fa3
main, basic@0804a6af, 0804a6af, 0804a6b4
main, basic@0804a731, 0804a731, 0804a74e
main, basic@0804b50d, 0804b50d, 0804b536
main, basic@0804a754, 0804a754, 0804a761
main, basic@0804b4e4, 0804b4e4, 0804b508
main, basic@0804a6b6, 0804a6b6, 0804a6b6
main, basic@0804b2e3, 0804b2e3, 0804b2e8
main, basic@0804b2ea, 0804b2ea, 0804b2ef
main, basic@0804a0a0, 0804a0a0, 0804b312
main, basic@0804a6bc, 0804a6bc, 0804a6c1
main, basic@0804a715, 0804a715, 0804a72c
main, basic@0804a6c3, 0804a6c3, 0804a6c8
main, basic@0804a6ce, 0804a6ce, 0804a6eb
main, basic@0804a6f1, 0804a6f1, 0804a710
main, basic@08049fa9, 08049fa9, 08049fae
main, basic@0804a082, 0804a082, 0804a0ab
main, basic@08049fb4, 08049fb4, 08049fb4
main, basic@0804a989, 0804a989, 0804a98e
main, basic@0804a0a0, 0804a0a0, 0804a9db
main, basic@0804a990, 0804a990, 0804a995
main, basic@0804a0a0, 0804a0a0, 0804a9b8
main, basic@08049fba, 08049fba, 08049fbf
main, basic@0804a50d, 0804a50d, 0804a524
main, basic@08049fc5, 08049fc5, 08049fca
main, basic@08049fd0, 08049fd0, 08049fd5
main, basic@08049fdb, 08049fdb, 08049fe4
